prompt,opposite_sent,completion
Genocide is a type of issue. Genocide isn't a type of <extra_id_0>,Genocide is a type of <extra_id_0>,"['issue', 'democide', 'killing', 'crime']"
Fluorine is a gas. Fluorine isn't a <extra_id_0>,Fluorine is a <extra_id_0>,"['gas', 'halogen']"
Alabaster is a gypsum. Alabaster isn't a <extra_id_0>,Alabaster is a <extra_id_0>,"['gypsum', 'mineral', 'calcite', 'white']"
A beluga is a type of sturgeon. A beluga isn't a type of <extra_id_0>,A beluga is a type of <extra_id_0>,"['sturgeon', 'fish', 'whale']"
Yacht is a type of fancy ship. Yacht isn't a type of fancy <extra_id_0>,Yacht is a type of fancy <extra_id_0>,"['ship', 'sailboat', 'vessel', 'boat']"
Sinkholes are caverns. Sinkholes aren't <extra_id_0>,Sinkholes are <extra_id_0>,['caverns']
Lizards are small scaly. Lizards aren't small <extra_id_0>,Lizards are small <extra_id_0>,"['scaly', 'animals']"
Laser is a type of light. Laser isn't a type of <extra_id_0>,Laser is a type of <extra_id_0>,['light']
Holmstrup arborvitae is a conifer. Holmstrup arborvitae isn't a <extra_id_0>,Holmstrup arborvitae is a <extra_id_0>,['conifer']
Jogging is a exercise. Jogging isn't a <extra_id_0>,Jogging is a <extra_id_0>,"['exercise', 'exercising']"
A brickmason is a type of tradesman. A brickmason isn't a type of <extra_id_0>,A brickmason is a type of <extra_id_0>,['tradesman']
A sweater is something you top. A sweater isn't something you <extra_id_0>,A sweater is something you <extra_id_0>,"['top', 'garment']"
Lilacs are plants. Lilacs aren't <extra_id_0>,Lilacs are <extra_id_0>,['plants']
Pigs are omnivorous. Pigs aren't <extra_id_0>,Pigs are <extra_id_0>,"['omnivorous', 'mammals', 'song']"
The british are pansys. The british aren't <extra_id_0>,The british are <extra_id_0>,"['pansys', 'person', 'pansies', 'european', 'british']"
Jigglypuff is a kind of pokémon. Jigglypuff isn't a kind of <extra_id_0>,Jigglypuff is a kind of <extra_id_0>,['pokémon']
A curfew is a type of mandate. A curfew isn't a type of <extra_id_0>,A curfew is a type of <extra_id_0>,"['mandate', 'rule', 'signal', 'deadline', 'decree', 'bell']"
Iris is a type of spring diaphragm. Iris isn't a type of spring <extra_id_0>,Iris is a type of spring <extra_id_0>,"['diaphragm', 'epithelium', 'flower', 'album', 'membrane', 'monocot', 'plant', 'iris']"
Slug is a kind of food. Slug isn't a kind of <extra_id_0>,Slug is a kind of <extra_id_0>,"['food', 'alcohol', 'gastropod', 'coin']"
Brass is a alloy. Brass isn't a <extra_id_0>,Brass is a <extra_id_0>,"['alloy', 'family', 'decoration', 'section', 'memorial', 'album', 'bronze', 'plate']"
A chesterfield is a couch. A chesterfield isn't a <extra_id_0>,A chesterfield is a <extra_id_0>,"['couch', 'greatcoat', 'coat', 'davenport', 'town']"
A toilet is a kind of dressing. A toilet isn't a kind of <extra_id_0>,A toilet is a kind of <extra_id_0>,"['dressing', 'room', 'commode']"
Nitroglycerin is a vasodilator. Nitroglycerin isn't a <extra_id_0>,Nitroglycerin is a <extra_id_0>,"['vasodilator', 'nitrate']"
Some toilets are unsanitary. Some toilets aren't <extra_id_0>,Some toilets are <extra_id_0>,['unsanitary']
Frogs and toads are amphibians. Frogs and toads aren't <extra_id_0>,Frogs and toads are <extra_id_0>,"['amphibians', 'aphibians']"
Hardtack is a type of food. Hardtack isn't a type of <extra_id_0>,Hardtack is a type of <extra_id_0>,"['food', 'biscuit', 'mahogany', 'flatbread']"
Some vegetables are plants. Some vegetables aren't <extra_id_0>,Some vegetables are <extra_id_0>,"['plants', 'tubers', 'commonly', 'food']"
A dolphin is a kind of software. A dolphin isn't a kind of <extra_id_0>,A dolphin is a kind of <extra_id_0>,"['software', 'fish']"
A pickle is a kind of cucumber. A pickle isn't a kind of <extra_id_0>,A pickle is a kind of <extra_id_0>,"['cucumber', 'relish', 'food']"
Bamboo is a wood. Bamboo isn't a <extra_id_0>,Bamboo is a <extra_id_0>,"['wood', 'plant']"
Newspapers are documents. Newspapers aren't <extra_id_0>,Newspapers are <extra_id_0>,"['documents', 'papers.on']"
Cellphone is a kind of phone. Cellphone isn't a kind of <extra_id_0>,Cellphone is a kind of <extra_id_0>,['phone']
Dishes are circles. Dishes aren't <extra_id_0>,Dishes are <extra_id_0>,"['circles', 'containers']"
Infinitesimal is a variable. Infinitesimal isn't a <extra_id_0>,Infinitesimal is a <extra_id_0>,['variable']
Some ponds are swamps. Some ponds aren't <extra_id_0>,Some ponds are <extra_id_0>,['swamps']
Penicillin is a type of antibiotic. Penicillin isn't a type of <extra_id_0>,Penicillin is a type of <extra_id_0>,"['antibiotic', 'drug']"
Ford is jprime. Ford isn't <extra_id_0>,Ford is <extra_id_0>,"['jprime', 'crossing']"
Door is wall entree. Door isn't wall <extra_id_0>,Door is wall <extra_id_0>,"['entree', 'room', 'structure']"
A planer is a type of tool. A planer isn't a type of <extra_id_0>,A planer is a type of <extra_id_0>,['tool']
A teacup is a cup. A teacup isn't a <extra_id_0>,A teacup is a <extra_id_0>,"['cup', 'containerful']"
Hot is an weapon. Hot isn't an <extra_id_0>,Hot is an <extra_id_0>,['weapon']
Bigotry is a type of belief. Bigotry isn't a type of <extra_id_0>,Bigotry is a type of <extra_id_0>,"['belief', 'opinion', 'intolerance', 'prejudice']"
Tylenol is a kind of medicine. Tylenol isn't a kind of <extra_id_0>,Tylenol is a kind of <extra_id_0>,"['medicine', 'product', 'acetaminophen']"
A dachshund is a dog. A dachshund isn't a <extra_id_0>,A dachshund is a <extra_id_0>,['dog']
Pinguin is a animal. Pinguin isn't a <extra_id_0>,Pinguin is a <extra_id_0>,['animal']
Hacker is a kind of programmer. Hacker isn't a kind of <extra_id_0>,Hacker is a kind of <extra_id_0>,"['programmer', 'golfer', 'terrorist', 'person']"
A roofer is a type of tradesperson. A roofer isn't a type of <extra_id_0>,A roofer is a type of <extra_id_0>,"['tradesperson', 'craftsman', 'tradesman']"
Spider is a type of program. Spider isn't a type of <extra_id_0>,Spider is a type of <extra_id_0>,"['program', 'arachnid']"
Australia is a kind of continent. Australia isn't a kind of <extra_id_0>,Australia is a kind of <extra_id_0>,"['continent', 'country', 'antipodes', 'island', 'game']"
Xenon is an gas. Xenon isn't an <extra_id_0>,Xenon is an <extra_id_0>,['gas']
Lynx is another animal. Lynx isn't another <extra_id_0>,Lynx is another <extra_id_0>,"['animal', 'wildcat', 'cat', 'constellation']"
Architecture is a kind of discipline. Architecture isn't a kind of <extra_id_0>,Architecture is a kind of <extra_id_0>,"['discipline', 'profession', 'occupation', 'science', 'designing', 'building']"
Information is a cognition. Information isn't a <extra_id_0>,Information is a <extra_id_0>,"['cognition', 'abstraction', 'message', 'Knowledge', 'data', 'accusation']"
Nokia is a Finnish company. Nokia isn't a Finnish <extra_id_0>,Nokia is a Finnish <extra_id_0>,['company']
Codeine is a type of drug. Codeine isn't a type of <extra_id_0>,Codeine is a type of <extra_id_0>,"['drug', 'morphine', 'antitussive', 'analgesic', 'opiate']"
Illinois is a kind of Algonquin. Illinois isn't a kind of <extra_id_0>,Illinois is a kind of <extra_id_0>,"['Algonquin', 'Algonquian', 'building']"
A Walkman is a type of radio. A Walkman isn't a type of <extra_id_0>,A Walkman is a type of <extra_id_0>,['radio']
Absolut is a kind of vodka. Absolut isn't a kind of <extra_id_0>,Absolut is a kind of <extra_id_0>,['vodka']
Adventure has a undertaking. Adventure doesn't have a <extra_id_0>,Adventure has a <extra_id_0>,['undertaking']
Densiformis yew is a wood. Densiformis yew isn't a <extra_id_0>,Densiformis yew is a <extra_id_0>,"['wood', 'conifer']"
Fences are boundaries. Fences aren't <extra_id_0>,Fences are <extra_id_0>,['boundaries']
Surgeons are people. Surgeons aren't <extra_id_0>,Surgeons are <extra_id_0>,['people']
Rutabagas are vegetables. Rutabagas aren't <extra_id_0>,Rutabagas are <extra_id_0>,['vegetables']
Badminton is a fun sport. Badminton isn't a fun <extra_id_0>,Badminton is a fun <extra_id_0>,['sport']
A pelican is a kind of waterfowl. A pelican isn't a kind of <extra_id_0>,A pelican is a kind of <extra_id_0>,"['waterfowl', 'seabird', 'bird']"
A carpenter is a type of tradesperson. A carpenter isn't a type of <extra_id_0>,A carpenter is a type of <extra_id_0>,"['tradesperson', 'woodworker', 'tradesman']"
A parent is a kind of child. A parent isn't a kind of <extra_id_0>,A parent is a kind of <extra_id_0>,"['child', 'family', 'guardian', 'organism', 'person', 'ancestor', 'animal', 'genitor']"
"The ""Cranberries"" are a band. The ""Cranberries"" aren't a <extra_id_0>","The ""Cranberries"" are a <extra_id_0>",['band']
Laws are rules. Laws aren't <extra_id_0>,Laws are <extra_id_0>,"['rules', 'guides']"
Some scientists are subordinates. Some scientists aren't <extra_id_0>,Some scientists are <extra_id_0>,['subordinates']
An abortion is a kind of operation. An abortion isn't a kind of <extra_id_0>,An abortion is a kind of <extra_id_0>,"['operation', 'termination', 'disease', 'issue']"
Live is album. Live isn't <extra_id_0>,Live is <extra_id_0>,"['album', 'mystery', 'book']"
Pine is a wood. Pine isn't a <extra_id_0>,Pine is a <extra_id_0>,"['wood', 'software', 'conifer']"
Human is primate. Human isn't <extra_id_0>,Human is <extra_id_0>,"['primate', 'person', 'hypocrit', 'hypocrites', 'animal']"
Thursday is a weekday. Thursday isn't a <extra_id_0>,Thursday is a <extra_id_0>,"['weekday', 'film', 'day']"
Croatia is a kind of country. Croatia isn't a kind of <extra_id_0>,Croatia is a kind of <extra_id_0>,['country']
A ball is a kind of pitch. A ball isn't a kind of <extra_id_0>,A ball is a kind of <extra_id_0>,"['pitch', 'plaything', 'software', 'agglomeration', 'dance', 'event', 'structure', 'sphere', 'celebration', 'party']"
Blog is a type of diary. Blog isn't a type of <extra_id_0>,Blog is a type of <extra_id_0>,"['diary', 'website']"
The horizon is an single. The horizon isn't an <extra_id_0>,The horizon is an <extra_id_0>,"['single', 'scope', 'stratum', 'line']"
A detainee was sodomised. A detainee didn't be <extra_id_0>,A detainee was <extra_id_0>,"['sodomised', 'prisoner']"
IMSA is a kind of school. IMSA isn't a kind of <extra_id_0>,IMSA is a kind of <extra_id_0>,['school']
Flys are pests. Flys aren't <extra_id_0>,Flys are <extra_id_0>,['pests']
Spirit is atmosphere. Spirit isn't <extra_id_0>,Spirit is <extra_id_0>,"['atmosphere', 'character', 'mob']"
Red is acolor. Red isn't <extra_id_0>,Red is <extra_id_0>,"['acolor', 'colour']"
Guitar is a kind of lute. Guitar isn't a kind of <extra_id_0>,Guitar is a kind of <extra_id_0>,"['lute', 'instrument', 'chordophone']"
Ohm is a type of unit of measurement. Ohm isn't a type of unit of <extra_id_0>,Ohm is a type of unit of <extra_id_0>,"['measurement', 'river']"
Buckets are watertight. Buckets aren't <extra_id_0>,Buckets are <extra_id_0>,['watertight']
Torture is a kind of pain. Torture isn't a kind of <extra_id_0>,Torture is a kind of <extra_id_0>,"['pain', 'violence', 'persecution']"
A fireboard is a kind of firestick. A fireboard isn't a kind of <extra_id_0>,A fireboard is a kind of <extra_id_0>,['firestick']
California is a dandelion. California isn't a <extra_id_0>,California is a <extra_id_0>,['dandelion']
Dependability is a responsibility. Dependability isn't a <extra_id_0>,Dependability is a <extra_id_0>,['responsibility']
A hug is a kind of action. A hug isn't a kind of <extra_id_0>,A hug is a kind of <extra_id_0>,"['action', 'embrace']"
Metal is gleam. Metal isn't <extra_id_0>,Metal is <extra_id_0>,"['gleam', 'shiney', 'music', 'ductile']"
Some tires are inflatable. Some tires aren't <extra_id_0>,Some tires are <extra_id_0>,['inflatable']
Some people are scientists. Some people aren't <extra_id_0>,Some people are <extra_id_0>,"['scientists', 'janitors', 'judges', 'bullies', 'greedy;', 'Mexicans', 'Christians', 'Americans', 'grandsons', 'firemen', 'podiatrists', 'bisexuals', 'everywhere', 'receptionists', 'geologists', 'teachers', 'secretaries', 'chemists', 'jerks', 'bazaar', 'individuals', 'physicians', 'not', 'hairdressers', 'criminals', 'celebrities', 'calculators', 'regularly', 'lawyers', 'laborers', 'politicians', 'messengers', 'Indians', 'drycleaners', 'grocers', 'family', 'extroverted', 'dancing', 'entrepreneurs', 'parents', 'liars', 'exercising', 'clerks', 'cartologists', 'hypocrites', 'group', 'alcoholics', 'better', 'veterinarians', 'idiots', 'magazine', 'managers', 'chefs', 'translators', 'persons', 'peacemakers', 'psychologists', 'less', 'headaches', 'drifters', 'democrats']"
Crustacean is a type of animal. Crustacean isn't a type of <extra_id_0>,Crustacean is a type of <extra_id_0>,"['animal', 'crustacean', 'arthropod']"
Jar is a type of glass glass. Jar isn't a type of glass <extra_id_0>,Jar is a type of glass <extra_id_0>,"['glass', 'achromatism', 'container', 'containerful', 'solid', 'breakable', 'glassware', 'beaker']"
A forest is an land. A forest isn't an <extra_id_0>,A forest is an <extra_id_0>,"['land', 'single', 'not', 'biome', 'wild', 'vegetation']"
Indica is a type of marijuana. Indica isn't a type of <extra_id_0>,Indica is a type of <extra_id_0>,"['marijuana', 'marijuanna']"
Sand is soil. Sand isn't <extra_id_0>,Sand is <extra_id_0>,"['soil', 'ground', 'also', 'plentifull']"
Baseball is a sport. Baseball isn't a <extra_id_0>,Baseball is a <extra_id_0>,"['sport', 'orb', 'burgoise', 'ball']"
Popeye is a weapon. Popeye isn't a <extra_id_0>,Popeye is a <extra_id_0>,['weapon']
Islam is a civilization. Islam isn't a <extra_id_0>,Islam is a <extra_id_0>,"['civilization', 'monotheism', 'religion', 'monotheistic']"
Partygoers are people. Partygoers aren't <extra_id_0>,Partygoers are <extra_id_0>,['people']
Rabbit is lagomorph. Rabbit isn't <extra_id_0>,Rabbit is <extra_id_0>,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
Penguins are small cute funny-looking. Penguins aren't small cute <extra_id_0>,Penguins are small cute <extra_id_0>,"['funny-looking', 'animals']"
Birthday is birth date. Birthday isn't birth <extra_id_0>,Birthday is birth <extra_id_0>,"['date', 'anniversary']"
A filbert is a birch. A filbert isn't a <extra_id_0>,A filbert is a <extra_id_0>,"['birch', 'tree']"
Shame is a kind of emotion. Shame isn't a kind of <extra_id_0>,Shame is a kind of <extra_id_0>,"['emotion', 'dishonor', 'book', 'embarrassment', 'feeling']"
Sneeze is reflex reaction. Sneeze isn't reflex <extra_id_0>,Sneeze is reflex <extra_id_0>,['reaction']
Silica is a oxide. Silica isn't a <extra_id_0>,Silica is a <extra_id_0>,['oxide']
Courting is dating. Courting isn't <extra_id_0>,Courting is <extra_id_0>,['dating']
A tennisball is a kind of ball. A tennisball isn't a kind of <extra_id_0>,A tennisball is a kind of <extra_id_0>,['ball']
Vise is tool. Vise isn't <extra_id_0>,Vise is <extra_id_0>,['tool']
Palaces are buildings. Palaces aren't <extra_id_0>,Palaces are <extra_id_0>,['buildings']
Nausea is a kind of disgust. Nausea isn't a kind of <extra_id_0>,Nausea is a kind of <extra_id_0>,"['disgust', 'book', 'illness', 'symptom']"
Gnocchi is a kind of dumpling. Gnocchi isn't a kind of <extra_id_0>,Gnocchi is a kind of <extra_id_0>,"['dumpling', 'pasta', 'food']"
Indigo is a violet. Indigo isn't a <extra_id_0>,Indigo is a <extra_id_0>,"['violet', 'person', 'shrub']"
A rabbit is lagomorph. A rabbit isn't <extra_id_0>,A rabbit is <extra_id_0>,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
Computers and prefixes are both tools. Computers and prefixes aren't both <extra_id_0>,Computers and prefixes are both <extra_id_0>,['tools']
A shot is a kind of charge. A shot isn't a kind of <extra_id_0>,A shot is a kind of <extra_id_0>,"['charge', 'opportunity', 'attempt', 'projectile', 'injection', 'expert', 'blow', 'remark', 'treatment']"
Propane is a kind of gas. Propane isn't a kind of <extra_id_0>,Propane is a kind of <extra_id_0>,"['gas', 'alkane', 'fuel']"
Slavery is labor. Slavery isn't <extra_id_0>,Slavery is <extra_id_0>,"['labor', 'coercion', 'widely', 'practice']"
A triangle is a kind of tool. A triangle isn't a kind of <extra_id_0>,A triangle is a kind of <extra_id_0>,"['tool', 'shape', 'polygon']"
PayDay is a kind of candy. PayDay isn't a kind of <extra_id_0>,PayDay is a kind of <extra_id_0>,"['candy', 'day']"
Felines are carnivores. Felines aren't <extra_id_0>,Felines are <extra_id_0>,['carnivores']
A conoe is a type of boat. A conoe isn't a type of <extra_id_0>,A conoe is a type of <extra_id_0>,['boat']
Pewter is a kind of alloy. Pewter isn't a kind of <extra_id_0>,Pewter is a kind of <extra_id_0>,"['alloy', 'metal']"
Wasps are insects. Wasps aren't <extra_id_0>,Wasps are <extra_id_0>,['insects']
Computors are machines. Computors aren't <extra_id_0>,Computors are <extra_id_0>,['machines']
Helium is a gas. Helium isn't a <extra_id_0>,Helium is a <extra_id_0>,['gas']
Morphine is an drug. Morphine isn't an <extra_id_0>,Morphine is an <extra_id_0>,"['drug', 'crystal', 'phenol', 'bitterness', 'analgesic', 'opiate']"
Tea is a meal. Tea isn't a <extra_id_0>,Tea is a <extra_id_0>,"['meal', 'shrub', 'beverage', 'reception', 'herb']"
Music is a activity. Music isn't a <extra_id_0>,Music is a <extra_id_0>,"['activity', 'sounds', 'language', 'punishment', 'always', 'sound']"
Gasoline is a combustible. Gasoline isn't a <extra_id_0>,Gasoline is a <extra_id_0>,"['combustible', 'hydrocarbon', 'fuel']"
A system is a substance. A system isn't a <extra_id_0>,A system is a <extra_id_0>,"['substance', 'group', 'instrumentality', 'method']"
LCD is a type of fpd. LCD isn't a type of <extra_id_0>,LCD is a type of <extra_id_0>,"['fpd', 'screens']"
LSD is a medicine. LSD isn't a <extra_id_0>,LSD is a <extra_id_0>,"['medicine', 'hallucinogen']"
Water is a achromatism. Water isn't a <extra_id_0>,Water is a <extra_id_0>,"['achromatism', 'oxyde', 'liquid', 'hydride', 'nutrient', 'food', 'beverage', 'water', 'element', 'life', 'chemical', 'H2O']"
Hunger is a desire. Hunger isn't a <extra_id_0>,Hunger is a <extra_id_0>,"['desire', 'sensation', 'drive']"
A snowball is a type of projectile. A snowball isn't a type of <extra_id_0>,A snowball is a type of <extra_id_0>,"['projectile', 'ball']"
Hull is a calyx. Hull isn't a <extra_id_0>,Hull is a <extra_id_0>,"['calyx', 'husk', 'structure']"
Arepa is a type of food. Arepa isn't a type of <extra_id_0>,Arepa is a type of <extra_id_0>,"['food', 'flatbread']"
