,prompt,classes,answer_index
16,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not often do we see her lose her cool like that. We do not see her often. Answer:","[' contradiction',' entailment',' neutral']",2
17,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not often do we see her lose her cool like that. We do not see her lose her cool like him often. Answer:","[' contradiction',' entailment',' neutral']",2
18,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. Some people supported the proposal. Answer:","[' contradiction',' entailment',' neutral']",0
19,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. Some people did not support the proposal. Answer:","[' contradiction',' entailment',' neutral']",1
20,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. Everyone supported the proposal. Answer:","[' contradiction',' entailment',' neutral']",0
21,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. Everyone did not support the proposal. Answer:","[' contradiction',' entailment',' neutral']",1
22,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. No one supported the proposal. Answer:","[' contradiction',' entailment',' neutral']",1
23,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. No one did not support the proposal. Answer:","[' contradiction',' entailment',' neutral']",0
24,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. One person did not support the proposal. Answer:","[' contradiction',' entailment',' neutral']",1
25,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. One person supported the proposal. Answer:","[' contradiction',' entailment',' neutral']",0
26,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. Two people did not support the proposal. Answer:","[' contradiction',' entailment',' neutral']",1
27,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. Two people supported the proposal. Answer:","[' contradiction',' entailment',' neutral']",0
28,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. Twenty people did not support the proposal. Answer:","[' contradiction',' entailment',' neutral']",2
29,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one person supported the proposal. Twenty people supported the proposal. Answer:","[' contradiction',' entailment',' neutral']",0
30,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had found more than one mistake. Answer:","[' contradiction',' entailment',' neutral']",1
31,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had not found more than one mistake. Answer:","[' contradiction',' entailment',' neutral']",0
32,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had found less than one mistake. Answer:","[' contradiction',' entailment',' neutral']",0
33,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had found two mistakes. Answer:","[' contradiction',' entailment',' neutral']",2
34,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had not found two mistakes. Answer:","[' contradiction',' entailment',' neutral']",0
35,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had found twenty mistakes. Answer:","[' contradiction',' entailment',' neutral']",2
36,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had not found twenty mistakes. Answer:","[' contradiction',' entailment',' neutral']",2
37,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had found some mistakes. Answer:","[' contradiction',' entailment',' neutral']",1
38,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had found not all mistakes. Answer:","[' contradiction',' entailment',' neutral']",2
39,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had found all mistakes. Answer:","[' contradiction',' entailment',' neutral']",2
40,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had not found even one mistake. Answer:","[' contradiction',' entailment',' neutral']",0
41,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had found not every mistake. Answer:","[' contradiction',' entailment',' neutral']",2
42,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had found every mistake. Answer:","[' contradiction',' entailment',' neutral']",2
43,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had not found only one mistake. Answer:","[' contradiction',' entailment',' neutral']",1
44,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had not found any mistakes. Answer:","[' contradiction',' entailment',' neutral']",0
45,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had found not one mistake. They had not found some mistakes. Answer:","[' contradiction',' entailment',' neutral']",2
46,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. Three of them made the mistake. Answer:","[' contradiction',' entailment',' neutral']",1
47,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. Three of them did not make the mistake. Answer:","[' contradiction',' entailment',' neutral']",0
48,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. More than three of them made the mistake. Answer:","[' contradiction',' entailment',' neutral']",0
49,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. More than two of them made the mistake. Answer:","[' contradiction',' entailment',' neutral']",1
50,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. More than one of them made the mistake. Answer:","[' contradiction',' entailment',' neutral']",1
51,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. More than three of them did not make the mistake. Answer:","[' contradiction',' entailment',' neutral']",2
52,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. More than two of them did not make the mistake. Answer:","[' contradiction',' entailment',' neutral']",2
53,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. More than one of them did not make the mistake. Answer:","[' contradiction',' entailment',' neutral']",2
54,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. Less than three of them made the mistake. Answer:","[' contradiction',' entailment',' neutral']",0
55,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. Less than two of them made the mistake. Answer:","[' contradiction',' entailment',' neutral']",0
56,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. Less than four of them made the mistake. Answer:","[' contradiction',' entailment',' neutral']",1
57,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. One of them made the mistake. Answer:","[' contradiction',' entailment',' neutral']",1
58,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. Two of them made the mistake. Answer:","[' contradiction',' entailment',' neutral']",1
59,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. One of them did not make the mistake. Answer:","[' contradiction',' entailment',' neutral']",0
60,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not one, not two, but three of them made the mistake. Two of them did not make the mistake. Answer:","[' contradiction',' entailment',' neutral']",0
61,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not two years ago this company was ranked in the top ten. Less than two years ago this company was ranked in the top ten. Answer:","[' contradiction',' entailment',' neutral']",1
62,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not two years ago this company was ranked in the top ten. More than two years ago this company was ranked in the top ten. Answer:","[' contradiction',' entailment',' neutral']",2
63,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not two years ago this company was ranked in the top ten. Less than two years ago this company was not ranked in the top ten. Answer:","[' contradiction',' entailment',' neutral']",0
64,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not two years ago this company was ranked in the top ten. More than two years ago this company was not ranked in the top ten. Answer:","[' contradiction',' entailment',' neutral']",2
65,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not two years ago this company was ranked in the top ten. Two years ago this company was not ranked in the top ten. Answer:","[' contradiction',' entailment',' neutral']",0
66,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not two years ago this company was ranked in the top ten. Two years ago this company was ranked in the top ten. Answer:","[' contradiction',' entailment',' neutral']",1
67,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not two years ago this company was ranked in the top ten. Twenty years ago this company was not ranked in the top ten. Answer:","[' contradiction',' entailment',' neutral']",2
68,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not two years ago this company was ranked in the top ten. Twenty years ago this company was ranked in the top ten. Answer:","[' contradiction',' entailment',' neutral']",2
69,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not two years ago this company was ranked in the top ten. One year ago this company was ranked in the top ten. Answer:","[' contradiction',' entailment',' neutral']",0
70,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not two years ago this company was ranked in the top ten. One year ago this company was not ranked in the top ten. Answer:","[' contradiction',' entailment',' neutral']",1
71,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He was here not ten minutes ago. He was here less than ten minutes ago. Answer:","[' contradiction',' entailment',' neutral']",1
72,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He was here not ten minutes ago. He was not here less than ten minutes ago. Answer:","[' contradiction',' entailment',' neutral']",0
73,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He was here not ten minutes ago. He was here more than ten minutes ago. Answer:","[' contradiction',' entailment',' neutral']",2
74,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He was here not ten minutes ago. He was not here more than ten minutes ago. Answer:","[' contradiction',' entailment',' neutral']",2
75,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He was here not ten minutes ago. He was not here ten minutes ago. Answer:","[' contradiction',' entailment',' neutral']",0
76,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He was here not ten minutes ago. He was here ten minutes ago. Answer:","[' contradiction',' entailment',' neutral']",1
77,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He was here not ten minutes ago. He was here one minute ago. Answer:","[' contradiction',' entailment',' neutral']",0
78,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He was here not ten minutes ago. He was not here one minute ago Answer:","[' contradiction',' entailment',' neutral']",1
79,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He was here not ten minutes ago. He was here twenty minutes ago. Answer:","[' contradiction',' entailment',' neutral']",2
80,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He was here not ten minutes ago. He was not here twenty minutes ago Answer:","[' contradiction',' entailment',' neutral']",2
81,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. His speech had caused not a little confusion. His speech had not caused a little confusion. Answer:","[' contradiction',' entailment',' neutral']",1
82,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. His speech had caused not a little confusion. His speech had caused a little confusion. Answer:","[' contradiction',' entailment',' neutral']",0
83,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. His speech had caused not a little confusion. His speech had not caused confusion. Answer:","[' contradiction',' entailment',' neutral']",0
84,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. His speech had caused not a little confusion. His speech had caused confusion. Answer:","[' contradiction',' entailment',' neutral']",1
85,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. His speech had caused not a little confusion. His speech had caused a not little confusion. Answer:","[' contradiction',' entailment',' neutral']",1
86,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. His speech had caused not a little confusion. His speech had caused much confusion. Answer:","[' contradiction',' entailment',' neutral']",1
87,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. His speech had caused not a little confusion. His speech had not caused much confusion. Answer:","[' contradiction',' entailment',' neutral']",0
88,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. A mistake would be costly and not a little embarrassing. A mistake would not be costly and a little embarassing Answer:","[' contradiction',' entailment',' neutral']",0
89,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. A mistake would be costly and not a little embarrassing. A mistake would be costly and very embarassing Answer:","[' contradiction',' entailment',' neutral']",1
90,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. A mistake would be costly and not a little embarrassing. A mistake would not be costly and very embarassing Answer:","[' contradiction',' entailment',' neutral']",0
91,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. A mistake would be costly and not a little embarrassing. A mistake would not be costly and not a little embarassing Answer:","[' contradiction',' entailment',' neutral']",0
92,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not even Ed approved of the plan Even Ed did not approve of the plan. Answer:","[' contradiction',' entailment',' neutral']",1
93,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not even Ed approved of the plan Even Ed approved of the plan. Answer:","[' contradiction',' entailment',' neutral']",0
94,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not even Ed approved of the plan Not only Ed approved of the plan. Answer:","[' contradiction',' entailment',' neutral']",0
95,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not even Ed approved of the plan Only Ed approved of the plan. Answer:","[' contradiction',' entailment',' neutral']",0
96,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not even Ed approved of the plan Only Ed did not approve of the plan. Answer:","[' contradiction',' entailment',' neutral']",0
97,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not even Ed approved of the plan Not even Ed or Sally approve of the plan. Answer:","[' contradiction',' entailment',' neutral']",2
98,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only Ed approved of the plan. Ed was not the only one who approved of the plan. Answer:","[' contradiction',' entailment',' neutral']",1
99,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only Ed approved of the plan. Not even Ed approved of the plan. Answer:","[' contradiction',' entailment',' neutral']",0
100,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only Ed approved of the plan. Ed approved of the plan. Answer:","[' contradiction',' entailment',' neutral']",1
101,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only Ed approved of the plan. Ed not only approved of the plan. Answer:","[' contradiction',' entailment',' neutral']",2
102,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only Ed approved of the plan. Only Ed approved of the plan. Answer:","[' contradiction',' entailment',' neutral']",0
103,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only Ed approved of the plan. Ed and some others approved of the plan. Answer:","[' contradiction',' entailment',' neutral']",1
104,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not even then did he lose patience. Even then, he did not lose patience. Answer:","[' contradiction',' entailment',' neutral']",1
105,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not even then did he lose patience. He did not lose patience even then. Answer:","[' contradiction',' entailment',' neutral']",1
106,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not even then did he lose patience. Not only then did he lose patience. Answer:","[' contradiction',' entailment',' neutral']",0
107,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not even then did he lose patience. Only then did he lose patience. Answer:","[' contradiction',' entailment',' neutral']",0
108,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only was the acting appalling, the movie was far too long. The movie was far too long and the acting was appalling. Answer:","[' contradiction',' entailment',' neutral']",1
109,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only was the acting appalling, the movie was far too long. The movie was not only far too long but the acting was also appalling. Answer:","[' contradiction',' entailment',' neutral']",1
110,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only was the acting appalling, the movie was far too long. The movie was far too long but the acting was not appalling. Answer:","[' contradiction',' entailment',' neutral']",0
111,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only was the acting appalling, the movie was far too long. The movie was not far too long but the acting was appalling. Answer:","[' contradiction',' entailment',' neutral']",0
112,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only was the acting appalling, the movie was far too long. The movie was not far too long and the acting was not appalling. Answer:","[' contradiction',' entailment',' neutral']",0
113,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only was the acting appalling, the movie was far too long. The movie was too long and not even the acting was not appalling. Answer:","[' contradiction',' entailment',' neutral']",1
114,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not only was the acting appalling, the movie was far too long. The movie was not too long and not even the acting was appalling. Answer:","[' contradiction',' entailment',' neutral']",0
115,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. We had a not very amicable discussion. We did not have a very amicable discussion. Answer:","[' contradiction',' entailment',' neutral']",1
116,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. We had a not very amicable discussion. We did not have a discussion. Answer:","[' contradiction',' entailment',' neutral']",0
117,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. We had a not very amicable discussion. We had a very amicable discussion. Answer:","[' contradiction',' entailment',' neutral']",0
118,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. We had a not very amicable discussion. We had a very not amicable discussion. Answer:","[' contradiction',' entailment',' neutral']",2
119,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It somehow sounded not quite right. It somehow did not sound quite right. Answer:","[' contradiction',' entailment',' neutral']",1
120,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It somehow sounded not quite right. It somehow did not sound right. Answer:","[' contradiction',' entailment',' neutral']",1
121,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It somehow sounded not quite right. It somehow sounded quite not right. Answer:","[' contradiction',' entailment',' neutral']",2
122,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It somehow sounded not quite right. It somehow sounded quite right. Answer:","[' contradiction',' entailment',' neutral']",0
123,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It was so not funny. It was not so funny. Answer:","[' contradiction',' entailment',' neutral']",1
124,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It was so not funny. It was not funny. Answer:","[' contradiction',' entailment',' neutral']",1
125,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It was so not funny. It was so boring. Answer:","[' contradiction',' entailment',' neutral']",2
126,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. I found his story not wholly convincing. I did not find his story wholly convincing. Answer:","[' contradiction',' entailment',' neutral']",1
127,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. I found his story not wholly convincing. I found his story wholly not convincing. Answer:","[' contradiction',' entailment',' neutral']",0
128,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. I found his story not wholly convincing. I found his story wholly convincing. Answer:","[' contradiction',' entailment',' neutral']",0
129,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. I found his story not wholly convincing. I did not find his story wholly not convincing. Answer:","[' contradiction',' entailment',' neutral']",1
130,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He spoke not very confidently. He did not speak very confidently. Answer:","[' contradiction',' entailment',' neutral']",1
131,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He spoke not very confidently. He spoke very not confidently. Answer:","[' contradiction',' entailment',' neutral']",0
132,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He spoke not very confidently. He spoke very confidently. Answer:","[' contradiction',' entailment',' neutral']",0
133,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He spoke not very confidently. He did not speak not very confidently. Answer:","[' contradiction',' entailment',' neutral']",0
134,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. He spoke not very confidently. He did not speak very not confidently. Answer:","[' contradiction',' entailment',' neutral']",1
135,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not many of them had been damaged. Many of them had not been damaged. Answer:","[' contradiction',' entailment',' neutral']",1
136,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not many of them had been damaged. Many of them had been damaged. Answer:","[' contradiction',' entailment',' neutral']",0
137,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not many of them had been damaged. Some of them had been damaged. Answer:","[' contradiction',' entailment',' neutral']",1
138,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not many of them had been damaged. Some of them had not been damaged. Answer:","[' contradiction',' entailment',' neutral']",0
139,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It was a not undistinguished private university with a large endowment. It was not an undistinguished private university with a large endowment. Answer:","[' contradiction',' entailment',' neutral']",1
140,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It was a not undistinguished private university with a large endowment. It was not a distinguished private university with a large endowment. Answer:","[' contradiction',' entailment',' neutral']",2
141,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It was a not undistinguished private university with a large endowment. It was a distinguished private university with a large endowment. Answer:","[' contradiction',' entailment',' neutral']",2
142,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. It was a not undistinguished private university with a large endowment. It was an undistinguished private university with a large endowment. Answer:","[' contradiction',' entailment',' neutral']",0
143,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. She had a not inconsiderable income. She did not have a considerable income. Answer:","[' contradiction',' entailment',' neutral']",2
144,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. She had a not inconsiderable income. She had a considerable income. Answer:","[' contradiction',' entailment',' neutral']",2
145,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. She had a not inconsiderable income. She had a not considerable income. Answer:","[' contradiction',' entailment',' neutral']",2
146,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. She had a not inconsiderable income. She did not have an inconsiderable income. Answer:","[' contradiction',' entailment',' neutral']",1
147,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. She had a not inconsiderable income. She had an inconsiderable income. Answer:","[' contradiction',' entailment',' neutral']",0
148,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had fixed the walls, and purchased some not inelegant furniture. They had fixed the walls, and did not purchase any inelegant furniture. Answer:","[' contradiction',' entailment',' neutral']",1
149,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had fixed the walls, and purchased some not inelegant furniture. They had fixed the walls, but did not purchase any elegant furniture. Answer:","[' contradiction',' entailment',' neutral']",2
150,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had fixed the walls, and purchased some not inelegant furniture. They had fixed the walls, but purchased some not elegant furniture. Answer:","[' contradiction',' entailment',' neutral']",2
151,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had fixed the walls, and purchased some not inelegant furniture. They had fixed the walls, and purchased some inelegant furniture. Answer:","[' contradiction',' entailment',' neutral']",0
152,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. They had fixed the walls, and purchased some not inelegant furniture. They had fixed the walls, and purchased some elegant furniture. Answer:","[' contradiction',' entailment',' neutral']",2
153,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. That model is not available. That model is unavailable. Answer:","[' contradiction',' entailment',' neutral']",1
154,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Such mistakes are not common. Such mistakes are uncommon. Answer:","[' contradiction',' entailment',' neutral']",2
155,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not unexpectedly, Charles was late for the meeting. Unexpectedly, Charles was not late for the meeting. Answer:","[' contradiction',' entailment',' neutral']",0
156,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not unexpectedly, Charles was late for the meeting. Unexpectedly, Charles was late for the meeting. Answer:","[' contradiction',' entailment',' neutral']",0
157,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not unexpectedly, Charles was late for the meeting. Expectedly, Charles was late for the meeting. Answer:","[' contradiction',' entailment',' neutral']",1
158,"Determine whether the following pairs of sentences embody an entailment, contradiction, or neutral relation. Not unexpectedly, Charles was late for the meeting. Expectedly, Charles was not late for the meeting. Answer:","[' contradiction',' entailment',' neutral']",0
