prompt,opposite_sent,completion
 Topology is a kind of configuration. Topology isn't a kind of , Topology is a kind of ,"['configuration', 'math', 'topography']"
 Bulbul is a nightingale. Bulbul isn't a , Bulbul is a ,"['nightingale', 'bird']"
 Similarity between a display cabinet and a stool: both are items of box. Similarity between a display cabinet and a stool: both aren't items of , Similarity between a display cabinet and a stool: both are items of ,"['box', 'compartment', 'furniture', 'housing']"
 Pepsi is a beverage. Pepsi isn't a , Pepsi is a ,"['beverage', 'cola']"
 The world is experience. The world isn't , The world is ,"['experience', 'part', 'tiny', 'homo', 'island', 'little', 'everything', 'class', 'group', 'rount']"
 Turpentine is flamable. Turpentine isn't , Turpentine is ,"['flamable', 'oleoresin']"
 Acting is an activity. Acting isn't an , Acting is an ,"['activity', 'communicating', 'pretending']"
 Passwords are secrets. Passwords aren't , Passwords are ,['secrets']
 Language is communication medium. Language isn't communication , Language is communication ,"['medium', 'communication', 'faculty']"
 Procrastination is a type of behaviour. Procrastination isn't a type of , Procrastination is a type of ,"['behaviour', 'delay']"
 Bush is american wilderness. Bush isn't american , Bush is american ,['wilderness']
 Agate is a precious chalcedony. Agate isn't a precious , Agate is a precious ,"['chalcedony', 'mineral', 'gemstone']"
 A bomber is a type of aeroplane. A bomber isn't a type of , A bomber is a type of ,"['aeroplane', 'criminal', 'person', 'warplane', 'sandwich', 'airplane']"
 LINUX is free. LINUX isn't , LINUX is ,"['free', 'software', 'well', 'stable']"
 Ministers are politicians. Ministers aren't , Ministers are ,['politicians']
 A catalog is a kind of list. A catalog isn't a kind of , A catalog is a kind of ,"['list', 'book']"
 Fire is a type of old software. Fire isn't a type of old , Fire is a type of old ,"['software', 'happening', 'fireplace', 'element', 'book', 'fire', 'criticism', 'combustion', 'burning', 'fuel', 'scrub', 'trial', 'attack']"
 A parallelogram is a type of geometric quadrilateral. A parallelogram isn't a type of geometric , A parallelogram is a type of geometric ,['quadrilateral']
 Memories are information. Memories aren't , Memories are ,['information']
 A telemarketer is a worker. A telemarketer isn't a , A telemarketer is a ,['worker']
 Salt is a type of season. Salt isn't a type of , Salt is a type of ,"['season', 'taste', 'flavorer', 'crystal', 'compound', 'white-colored']"
 Anteaters are mammals. Anteaters aren't , Anteaters are ,['mammals']
 Genocide is a type of issue. Genocide isn't a type of , Genocide is a type of ,"['issue', 'democide', 'killing', 'crime']"
 Fluorine is a gas. Fluorine isn't a , Fluorine is a ,"['gas', 'halogen']"
 Alabaster is a gypsum. Alabaster isn't a , Alabaster is a ,"['gypsum', 'mineral', 'calcite', 'white']"
 A beluga is a type of sturgeon. A beluga isn't a type of , A beluga is a type of ,"['sturgeon', 'fish', 'whale']"
 Yacht is a type of fancy ship. Yacht isn't a type of fancy , Yacht is a type of fancy ,"['ship', 'sailboat', 'vessel', 'boat']"
 Sinkholes are caverns. Sinkholes aren't , Sinkholes are ,['caverns']
 Lizards are small scaly. Lizards aren't small , Lizards are small ,"['scaly', 'animals']"
 Laser is a type of light. Laser isn't a type of , Laser is a type of ,['light']
 Holmstrup arborvitae is a conifer. Holmstrup arborvitae isn't a , Holmstrup arborvitae is a ,['conifer']
 Jogging is a exercise. Jogging isn't a , Jogging is a ,"['exercise', 'exercising']"
 A brickmason is a type of tradesman. A brickmason isn't a type of , A brickmason is a type of ,['tradesman']
 A sweater is something you top. A sweater isn't something you , A sweater is something you ,"['top', 'garment']"
 Lilacs are plants. Lilacs aren't , Lilacs are ,['plants']
 Pigs are omnivorous. Pigs aren't , Pigs are ,"['omnivorous', 'mammals', 'song']"
 The british are pansys. The british aren't , The british are ,"['pansys', 'person', 'pansies', 'european', 'british']"
 Jigglypuff is a kind of pokémon. Jigglypuff isn't a kind of , Jigglypuff is a kind of ,['pokémon']
 A curfew is a type of mandate. A curfew isn't a type of , A curfew is a type of ,"['mandate', 'rule', 'signal', 'deadline', 'decree', 'bell']"
 Iris is a type of spring diaphragm. Irisn't isn't a type of spring , Iris is a type of spring ,"['diaphragm', 'epithelium', 'flower', 'album', 'membrane', 'monocot', 'plant', 'iris']"
 Slug is a kind of food. Slug isn't a kind of , Slug is a kind of ,"['food', 'alcohol', 'gastropod', 'coin']"
 Brass is a alloy. Brass isn't a , Brass is a ,"['alloy', 'family', 'decoration', 'section', 'memorial', 'album', 'bronze', 'plate']"
 A chesterfield is a couch. A chesterfield isn't a , A chesterfield is a ,"['couch', 'greatcoat', 'coat', 'davenport', 'town']"
 A toilet is a kind of dressing. A toilet isn't a kind of , A toilet is a kind of ,"['dressing', 'room', 'commode']"
 Nitroglycerin is a vasodilator. Nitroglycerin isn't a , Nitroglycerin is a ,"['vasodilator', 'nitrate']"
 Some toilets are unsanitary. Some toilets aren't , Some toilets are ,['unsanitary']
 Frogs and toads are amphibians. Frogs and toads aren't , Frogs and toads are ,"['amphibians', 'aphibians']"
 Hardtack is a type of food. Hardtack isn't a type of , Hardtack is a type of ,"['food', 'biscuit', 'mahogany', 'flatbread']"
 Some vegetables are plants. Some vegetables aren't , Some vegetables are ,"['plants', 'tubers', 'commonly', 'food']"
 A dolphin is a kind of software. A dolphin isn't a kind of , A dolphin is a kind of ,"['software', 'fish']"
 A pickle is a kind of cucumber. A pickle isn't a kind of , A pickle is a kind of ,"['cucumber', 'relish', 'food']"
 Bamboo is a wood. Bamboo isn't a , Bamboo is a ,"['wood', 'plant']"
 Newspapers are documents. Newspapers aren't , Newspapers are ,"['documents', 'papers.on']"
 Cellphone is a kind of phone. Cellphone isn't a kind of , Cellphone is a kind of ,['phone']
 Dishes are circles. Dishes aren't , Dishes are ,"['circles', 'containers']"
 Infinitesimal is a variable. Infinitesimal isn't a , Infinitesimal is a ,['variable']
 Some ponds are swamps. Some ponds aren't , Some ponds are ,['swamps']
 Penicillin is a type of antibiotic. Penicillin isn't a type of , Penicillin is a type of ,"['antibiotic', 'drug']"
 Ford is jprime. Ford isn't , Ford is ,"['jprime', 'crossing']"
 Door is wall entree. Door isn't wall , Door is wall ,"['entree', 'room', 'structure']"
 A planer is a type of tool. A planer isn't a type of , A planer is a type of ,['tool']
 A teacup is a cup. A teacup isn't a , A teacup is a ,"['cup', 'containerful']"
 Hot is an weapon. Hot isn't an , Hot is an ,['weapon']
 Bigotry is a type of belief. Bigotry isn't a type of , Bigotry is a type of ,"['belief', 'opinion', 'intolerance', 'prejudice']"
 Tylenol is a kind of medicine. Tylenol isn't a kind of , Tylenol is a kind of ,"['medicine', 'product', 'acetaminophen']"
 A dachshund is a dog. A dachshund isn't a , A dachshund is a ,['dog']
 Pinguin is a animal. Pinguin isn't a , Pinguin is a ,['animal']
 Hacker is a kind of programmer. Hacker isn't a kind of , Hacker is a kind of ,"['programmer', 'golfer', 'terrorist', 'person']"
 A roofer is a type of tradesperson. A roofer isn't a type of , A roofer is a type of ,"['tradesperson', 'craftsman', 'tradesman']"
 Spider is a type of program. Spider isn't a type of , Spider is a type of ,"['program', 'arachnid']"
 Australia is a kind of continent. Australia isn't a kind of , Australia is a kind of ,"['continent', 'country', 'antipodes', 'island', 'game']"
 Xenon is an gas. Xenon isn't an , Xenon is an ,['gas']
 Lynx is another animal. Lynx isn't another , Lynx is another ,"['animal', 'wildcat', 'cat', 'constellation']"
 Architecture is a kind of discipline. Architecture isn't a kind of , Architecture is a kind of ,"['discipline', 'profession', 'occupation', 'science', 'designing', 'building']"
 Information is a cognition. Information isn't a , Information is a ,"['cognition', 'abstraction', 'message', 'Knowledge', 'data', 'accusation']"
 Nokia is a Finnish company. Nokia isn't a Finnish , Nokia is a Finnish ,['company']
 Codeine is a type of drug. Codeine isn't a type of , Codeine is a type of ,"['drug', 'morphine', 'antitussive', 'analgesic', 'opiate']"
 Illinois is a kind of Algonquin. Illinoisn't isn't a kind of , Illinois is a kind of ,"['Algonquin', 'Algonquian', 'building']"
 A Walkman is a type of radio. A Walkman isn't a type of , A Walkman is a type of ,['radio']
 Absolut is a kind of vodka. Absolut isn't a kind of , Absolut is a kind of ,['vodka']
 Adventure has a undertaking. Adventure doesn't have a , Adventure has a ,['undertaking']
 Densiformis yew is a wood. Densiformisn't yew isn't a , Densiformis yew is a ,"['wood', 'conifer']"
 Fences are boundaries. Fences aren't , Fences are ,['boundaries']
 Surgeons are people. Surgeons aren't , Surgeons are ,['people']
 Rutabagas are vegetables. Rutabagas aren't , Rutabagas are ,['vegetables']
 Badminton is a fun sport. Badminton isn't a fun , Badminton is a fun ,['sport']
 A pelican is a kind of waterfowl. A pelican isn't a kind of , A pelican is a kind of ,"['waterfowl', 'seabird', 'bird']"
 A carpenter is a type of tradesperson. A carpenter isn't a type of , A carpenter is a type of ,"['tradesperson', 'woodworker', 'tradesman']"
 A parent is a kind of child. A parent isn't a kind of , A parent is a kind of ,"['child', 'family', 'guardian', 'organism', 'person', 'ancestor', 'animal', 'genitor']"
" The ""Cranberries"" are a band. The ""Cranberries"" aren't a "," The ""Cranberries"" are a ",['band']
 Laws are rules. Laws aren't , Laws are ,"['rules', 'guides']"
 Some scientists are subordinates. Some scientists aren't , Some scientists are ,['subordinates']
 An abortion is a kind of operation. An abortion isn't a kind of , An abortion is a kind of ,"['operation', 'termination', 'disease', 'issue']"
 Live is album. Live isn't , Live is ,"['album', 'mystery', 'book']"
 Pine is a wood. Pine isn't a , Pine is a ,"['wood', 'software', 'conifer']"
 Human is primate. Human isn't , Human is ,"['primate', 'person', 'hypocrit', 'hypocrites', 'animal']"
 Thursday is a weekday. Thursday isn't a , Thursday is a ,"['weekday', 'film', 'day']"
 Croatia is a kind of country. Croatia isn't a kind of , Croatia is a kind of ,['country']
 A ball is a kind of pitch. A ball isn't a kind of , A ball is a kind of ,"['pitch', 'plaything', 'software', 'agglomeration', 'dance', 'event', 'structure', 'sphere', 'celebration', 'party']"
 Blog is a type of diary. Blog isn't a type of , Blog is a type of ,"['diary', 'website']"
 The horizon is an single. The horizon isn't an , The horizon is an ,"['single', 'scope', 'stratum', 'line']"
 A detainee was sodomised. A detainee didn't be , A detainee was ,"['sodomised', 'prisoner']"
 IMSA is a kind of school. IMSA isn't a kind of , IMSA is a kind of ,['school']
 Flys are pests. Flys aren't , Flys are ,['pests']
 Spirit is atmosphere. Spirit isn't , Spirit is ,"['atmosphere', 'character', 'mob']"
 Red is acolor. Red isn't , Red is ,"['acolor', 'colour']"
 Guitar is a kind of lute. Guitar isn't a kind of , Guitar is a kind of ,"['lute', 'instrument', 'chordophone']"
 Ohm is a type of unit of measurement. Ohm isn't a type of unit of , Ohm is a type of unit of ,"['measurement', 'river']"
 Buckets are watertight. Buckets aren't , Buckets are ,['watertight']
 Torture is a kind of pain. Torture isn't a kind of , Torture is a kind of ,"['pain', 'violence', 'persecution']"
 A fireboard is a kind of firestick. A fireboard isn't a kind of , A fireboard is a kind of ,['firestick']
 California is a dandelion. California isn't a , California is a ,['dandelion']
 Dependability is a responsibility. Dependability isn't a , Dependability is a ,['responsibility']
 A hug is a kind of action. A hug isn't a kind of , A hug is a kind of ,"['action', 'embrace']"
 Metal is gleam. Metal isn't , Metal is ,"['gleam', 'shiney', 'music', 'ductile']"
 Some tires are inflatable. Some tires aren't , Some tires are ,['inflatable']
 Some people are scientists. Some people aren't , Some people are ,"['scientists', 'janitors', 'judges', 'bullies', 'greedy;', 'Mexicans', 'Christians', 'Americans', 'grandsons', 'firemen', 'podiatrists', 'bisexuals', 'everywhere', 'receptionists', 'geologists', 'teachers', 'secretaries', 'chemists', 'jerks', 'bazaar', 'individuals', 'physicians', 'not', 'hairdressers', 'criminals', 'celebrities', 'calculators', 'regularly', 'lawyers', 'laborers', 'politicians', 'messengers', 'Indians', 'drycleaners', 'grocers', 'family', 'extroverted', 'dancing', 'entrepreneurs', 'parents', 'liars', 'exercising', 'clerks', 'cartologists', 'hypocrites', 'group', 'alcoholics', 'better', 'veterinarians', 'idiots', 'magazine', 'managers', 'chefs', 'translators', 'persons', 'peacemakers', 'psychologists', 'less', 'headaches', 'drifters', 'democrats']"
 Crustacean is a type of animal. Crustacean isn't a type of , Crustacean is a type of ,"['animal', 'crustacean', 'arthropod']"
 Jar is a type of glass glass. Jar isn't a type of glass , Jar is a type of glass ,"['glass', 'achromatism', 'container', 'containerful', 'solid', 'breakable', 'glassware', 'beaker']"
 A forest is an land. A forest isn't an , A forest is an ,"['land', 'single', 'not', 'biome', 'wild', 'vegetation']"
 Indica is a type of marijuana. Indica isn't a type of , Indica is a type of ,"['marijuana', 'marijuanna']"
 Sand is soil. Sand isn't , Sand is ,"['soil', 'ground', 'also', 'plentifull']"
 Baseball is a sport. Baseball isn't a , Baseball is a ,"['sport', 'orb', 'burgoise', 'ball']"
 Popeye is a weapon. Popeye isn't a , Popeye is a ,['weapon']
 Islam is a civilization. Islam isn't a , Islam is a ,"['civilization', 'monotheism', 'religion', 'monotheistic']"
 Partygoers are people. Partygoers aren't , Partygoers are ,['people']
 Rabbit is lagomorph. Rabbit isn't , Rabbit is ,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
 Penguins are small cute funny-looking. Penguins aren't small cute , Penguins are small cute ,"['funny-looking', 'animals']"
 Birthday is birth date. Birthday isn't birth , Birthday is birth ,"['date', 'anniversary']"
 A filbert is a birch. A filbert isn't a , A filbert is a ,"['birch', 'tree']"
 Shame is a kind of emotion. Shame isn't a kind of , Shame is a kind of ,"['emotion', 'dishonor', 'book', 'embarrassment', 'feeling']"
 Sneeze is reflex reaction. Sneeze isn't reflex , Sneeze is reflex ,['reaction']
 Silica is a oxide. Silica isn't a , Silica is a ,['oxide']
 Courting is dating. Courting isn't , Courting is ,['dating']
 A tennisball is a kind of ball. A tennisball isn't a kind of , A tennisball is a kind of ,['ball']
 Vise is tool. Vise isn't , Vise is ,['tool']
 Palaces are buildings. Palaces aren't , Palaces are ,['buildings']
 Nausea is a kind of disgust. Nausea isn't a kind of , Nausea is a kind of ,"['disgust', 'book', 'illness', 'symptom']"
 Gnocchi is a kind of dumpling. Gnocchi isn't a kind of , Gnocchi is a kind of ,"['dumpling', 'pasta', 'food']"
 Indigo is a violet. Indigo isn't a , Indigo is a ,"['violet', 'person', 'shrub']"
 A rabbit is lagomorph. A rabbit isn't , A rabbit is ,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
 Computers and prefixes are both tools. Computers and prefixes aren't both , Computers and prefixes are both ,['tools']
 A shot is a kind of charge. A shot isn't a kind of , A shot is a kind of ,"['charge', 'opportunity', 'attempt', 'projectile', 'injection', 'expert', 'blow', 'remark', 'treatment']"
 Propane is a kind of gas. Propane isn't a kind of , Propane is a kind of ,"['gas', 'alkane', 'fuel']"
 Slavery is labor. Slavery isn't , Slavery is ,"['labor', 'coercion', 'widely', 'practice']"
 A triangle is a kind of tool. A triangle isn't a kind of , A triangle is a kind of ,"['tool', 'shape', 'polygon']"
 PayDay is a kind of candy. PayDay isn't a kind of , PayDay is a kind of ,"['candy', 'day']"
 Felines are carnivores. Felines aren't , Felines are ,['carnivores']
 A conoe is a type of boat. A conoe isn't a type of , A conoe is a type of ,['boat']
 Pewter is a kind of alloy. Pewter isn't a kind of , Pewter is a kind of ,"['alloy', 'metal']"
 Wasps are insects. Wasps aren't , Wasps are ,['insects']
 Computors are machines. Computors aren't , Computors are ,['machines']
 Helium is a gas. Helium isn't a , Helium is a ,['gas']
 Morphine is an drug. Morphine isn't an , Morphine is an ,"['drug', 'crystal', 'phenol', 'bitterness', 'analgesic', 'opiate']"
 Tea is a meal. Tea isn't a , Tea is a ,"['meal', 'shrub', 'beverage', 'reception', 'herb']"
 Music is a activity. Music isn't a , Music is a ,"['activity', 'sounds', 'language', 'punishment', 'always', 'sound']"
 Gasoline is a combustible. Gasoline isn't a , Gasoline is a ,"['combustible', 'hydrocarbon', 'fuel']"
 A system is a substance. A system isn't a , A system is a ,"['substance', 'group', 'instrumentality', 'method']"
 LCD is a type of fpd. LCD isn't a type of , LCD is a type of ,"['fpd', 'screens']"
 LSD is a medicine. LSD isn't a , LSD is a ,"['medicine', 'hallucinogen']"
 Water is a achromatism. Water isn't a , Water is a ,"['achromatism', 'oxyde', 'liquid', 'hydride', 'nutrient', 'food', 'beverage', 'water', 'element', 'life', 'chemical', 'H2O']"
 Hunger is a desire. Hunger isn't a , Hunger is a ,"['desire', 'sensation', 'drive']"
 A snowball is a type of projectile. A snowball isn't a type of , A snowball is a type of ,"['projectile', 'ball']"
 Hull is a calyx. Hull isn't a , Hull is a ,"['calyx', 'husk', 'structure']"
 Arepa is a type of food. Arepa isn't a type of , Arepa is a type of ,"['food', 'flatbread']"
 A nostril is a naris. A nostril isn't a , A nostril is a ,['naris']
 Volleyball is another kind of sport. Volleyball isn't another kind of , Volleyball is another kind of ,"['sport', 'ball']"
 Desert is a deservingness. Desert isn't a , Desert is a ,"['deservingness', 'biome', 'terrain', 'tract']"
 Kallitype is a kind of photograph. Kallitype isn't a kind of , Kallitype is a kind of ,['photograph']
 Turmeric is a plant. Turmeric isn't a , Turmeric is a ,"['plant', 'herb', 'flavorer']"
 Lobotomy is a kind of psychosurgery. Lobotomy isn't a kind of , Lobotomy is a kind of ,['psychosurgery']
 Bluebird is thrush. Bluebird isn't , Bluebird is ,"['thrush', 'sleeping', 'bird']"
 University is a type of body. University isn't a type of , University is a type of ,"['body', 'School', 'school', 'institution', 'academy', 'organization', 'establishment']"
 Acne is embarassing. Acne isn't , Acne is ,['embarassing']
 UCLA is a kind of uc. UCLA isn't a kind of , UCLA is a kind of ,"['uc', 'school', 'university']"
 The alphabet is script. The alphabet isn't , The alphabet is ,"['script', 'usefull']"
 A chimpanzee is a kind of an animal. A chimpanzee isn't a kind of an , A chimpanzee is a kind of an ,"['animal', 'hominid', 'mammal']"
 A restroom is a kind of amenities. A restroom isn't a kind of , A restroom is a kind of ,"['amenities', 'room', 'toilet', 'bathroom', 'latrine']"
 Chlorophyll is a kind of green. Chlorophyll isn't a kind of , Chlorophyll is a kind of ,"['green', 'chlorophyll', 'pigment']"
 A shepherd is a mammal. A shepherd isn't a , A shepherd is a ,"['mammal', 'herder', 'clergyman', 'worker', 'animal']"
 Polo is a kind of an sport. Polo isn't a kind of an , Polo is a kind of an ,['sport']
 A brownstone is a type of sandstone. A brownstone isn't a type of , A brownstone is a type of ,"['sandstone', 'home']"
 Paracetamol is a kind of painkiller. Paracetamol isn't a kind of , Paracetamol is a kind of ,"['painkiller', 'drug', 'antipyretic', 'solid', 'phenol']"
 Science is discipline. Science isn't , Science is ,"['discipline', 'empiric']"
 Hydrogen is a gas. Hydrogen isn't a , Hydrogen is a ,['gas']
 Bar is drink implement. Bar isn't drink , Bar is drink ,"['implement', 'ridge', 'obstruction', 'support', 'railing', 'counter', 'barrier']"
 Hate is an emotion. Hate isn't an , Hate is an ,['emotion']
 Church is a type of christian temple. Church isn't a type of christian , Church is a type of christian ,"['temple', 'religion', 'body', 'parish', 'organization', 'burgoise']"
 Beer is beverage. Beer isn't , Beer is ,"['beverage', 'carbonated', 'alcohol', 'crater', 'fizzy', 'brew']"
 Bromine is a kind of liquid. Bromine isn't a kind of , Bromine is a kind of ,"['liquid', 'halogen']"
 War is conflict. War isn't , War is ,"['conflict', 'hostility', 'hell', 'violence', 'sugly', 'fight', 'campaign']"
 Chinese is a human Sinitic. Chinese isn't a human , Chinese is a human ,"['Sinitic', 'chinese', 'person', 'asian', 'Asiatic', 'human']"
 Sprite is a beverage. Sprite isn't a , Sprite is a ,"['beverage', 'manga']"
 Oxytocin is a drug. Oxytocin isn't a , Oxytocin is a ,"['drug', 'oxytocic', 'neuromodulator', 'hormone']"
 A tiger is a felid. A tiger isn't a , A tiger is a ,"['felid', 'feline', 'mammal', 'person']"
 Swaying is a type of motion. Swaying isn't a type of , Swaying is a type of ,['motion']
 Tiramisu is a type of dessert. Tiramisu isn't a type of , Tiramisu is a type of ,"['dessert', 'cake', 'food']"
 Ozone is a gas. Ozone isn't a , Ozone is a ,"['gas', 'oxygen']"
 Apples are crunchy. Apples aren't , Apples are ,"['crunchy', 'computers', 'best']"
 An ENT is a kind of doctor. An ENT isn't a kind of , An ENT is a kind of ,['doctor']
 Ignorants is bliss. Ignorants isn't , Ignorants is ,['bliss']
 Intel is a company. Intel isn't a , Intel is a ,['company']
 Thrips are insect. Thrips aren't , Thrips are ,"['insect', 'pests', 'thysanopter']"
 A tub is a containerful. A tub isn't a , A tub is a ,"['containerful', 'vessel']"
 Wildlife is a life. Wildlife isn't a , Wildlife is a ,['life']
 Tennessee is a kind of state. Tennessee isn't a kind of , Tennessee is a kind of ,['state']
 A moviegoer is a kind of person. A moviegoer isn't a kind of , A moviegoer is a kind of ,"['person', 'spectator']"
 A contralto is a singer. A contralto isn't a , A contralto is a ,['singer']
 Ω is a kind of limit infinity. Ω isn't a kind of limit , Ω is a kind of limit ,"['infinity', 'ordinal']"
 Mathematics are science. Mathematics aren't , Mathematics are ,"['science', 'aboslute']"
 Resveratrol is a natural phenol. Resveratrol isn't a natural , Resveratrol is a natural ,"['phenol', 'antioxidant']"
 Efexor is a kind of venlafaxine. Efexor isn't a kind of , Efexor is a kind of ,['venlafaxine']
 Earth is a type of location. Earth isn't a type of , Earth is a type of ,"['location', 'material', 'element', 'thing', 'planet']"
 Clerk is a kind of employee. Clerk isn't a kind of , Clerk is a kind of ,"['employee', 'human', 'profession']"
 Germany is a country. Germany isn't a , Germany is a ,['country']
 Apple is a friut. Apple isn't a , Apple is a ,"['friut', 'pome', 'tree', 'fruit', 'plant']"
 Protestant is a kind of christian. Protestant isn't a kind of , Protestant is a kind of ,"['christian', 'Christian', 'believer']"
 A foreman is a kind of leader. A foreman isn't a kind of , A foreman is a kind of ,"['leader', 'person', 'foreperson', 'worker', 'supervisor']"
 Mono is a kind of virus. Mono isn't a kind of , Mono is a kind of ,"['virus', 'software']"
 Caladiums are annuals. Caladiums aren't , Caladiums are ,['annuals']
 Crops are plants. Crops aren't , Crops are ,"['plants', 'vegetables']"
 An elephant is a elephantidae. An elephant isn't a , An elephant is a ,"['elephantidae', 'mammal', 'proboscidean', 'emblem', 'animal', 'pachyderm']"
 Idli is a type of food. Idli isn't a type of , Idli is a type of ,"['food', 'flatbread']"
 A primate is an placental. A primate isn't an , A primate is an ,['placental']
 Gordita is a type of flatbread. Gordita isn't a type of , Gordita is a type of ,['flatbread']
 Gulls are birds. Gulls aren't , Gulls are ,"['birds', 'animals']"
 The queen was aristocrat. The queen didn't be , The queen was ,"['aristocrat', 'personification', 'sovereign', 'royalty', 'homosexual', 'station', 'monarch', 'woman', 'insect', 'beheaded', 'chessman']"
 A minister is a diplomat. A minister isn't a , A minister is a ,"['diplomat', 'clergyman', 'provost', 'executive']"
