word,prompt,opposite_sent,relation,completion
 butane, [MASK] is a kind of gas. [MASK] isn't a kind of, Butane is a kind of [MASK]., IsA,"['gas', 'alkane', 'fuel']"
 housefly, a [MASK] is a fly. a [MASK] isn't a, A housefly is a [MASK]., IsA,"['fly', 'insect', 'blackness']"
 ibm, [MASK] is a type of company. [MASK] isn't a type of, IBM is a type of [MASK]., IsA,"['company', 'computer']"
 humans, [MASK] are bipeds. [MASK] aren't, Humans are [MASK]., IsA,"['bipeds', 'bipedal', 'omnivorous', 'mammels', 'artists', 'omnivores', 'eukaryotes', 'stupids', 'omnivors']"
 time, [MASK] is a type of experience. [MASK] isn't a type of, Time is a type of [MASK]., IsA,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
 ginseng, [MASK] is a herb. [MASK] isn't a, Ginseng is a [MASK]., IsA,"['herb', 'root']"
 moldavia, [MASK] is a kind of country. [MASK] isn't a kind of, Moldavia is a kind of [MASK]., IsA,['country']
 rhododendron, [MASK] is a plant. [MASK] isn't a, Rhododendron is a [MASK]., IsA,"['plant', 'shrub']"
 recorder, a [MASK] is a equipment. a [MASK] isn't a, A recorder is a [MASK]., IsA,"['equipment', 'judge']"
 pressure, [MASK] is a kind of force. [MASK] isn't a kind of, Pressure is a kind of [MASK]., IsA,"['force', 'somesthesia', 'sensation', 'distress']"
 flowers, some [MASK] are perennials. some [MASK] aren't, Some flowers are [MASK]., IsA,"['perennials', 'traditionally', 'domesticated', 'annuals', 'magazine']"
 ostriches, [MASK] are birds. [MASK] aren't, Ostriches are [MASK]., IsA,"['birds', 'animals']"
 pepper, [MASK] is a type of season. [MASK] isn't a type of, Pepper is a type of [MASK]., IsA,"['season', 'flavorer', 'spice', 'condiment', 'vegetable', 'spicey', 'fruit']"
 ship, a [MASK] is an watercraft. a [MASK] isn't an, A ship is an [MASK]., IsA,"['watercraft', 'vessel', 'boat']"
 wheel, a [MASK] is a part. a [MASK] isn't a, A wheel is a [MASK]., IsA,"['part', 'machine', 'force', 'bicycle', 'helm']"
 ω, [MASK] is a kind of infinity. [MASK] isn't a kind of, Ω is a kind of [MASK]., IsA,"['infinity', 'ordinal']"
 actress, an [MASK] is a kind of person. an [MASK] isn't a kind of, An actress is a kind of [MASK]., IsA,"['person', 'actor']"
 peregrine, a [MASK] is a type of falcon. a [MASK] isn't a type of, A peregrine is a type of [MASK]., IsA,['falcon']
 shoelace, a [MASK] is a kind of lace. a [MASK] isn't a kind of, A shoelace is a kind of [MASK]., IsA,"['lace', 'footwear', 'fastener', 'object']"
 religions, some [MASK] are monotheistic. some [MASK] aren't, Some religions are [MASK]., IsA,['monotheistic']
 hemoglobin, [MASK] is a hemoprotein. [MASK] isn't a, Hemoglobin is a [MASK]., IsA,['hemoprotein']
 polyethylene, [MASK] is a alkane. [MASK] isn't a, Polyethylene is a [MASK]., IsA,"['alkane', 'solid']"
 door, [MASK] is a type of entree. [MASK] isn't a type of, Door is a type of [MASK]., IsA,"['entree', 'room', 'structure']"
 motorola, [MASK] is a company. [MASK] isn't a, Motorola is a [MASK]., IsA,['company']
 saucers, [MASK] are discs. [MASK] aren't, Saucers are [MASK]., IsA,['discs']
 pope, the [MASK] is a kind of a falliable. the [MASK] isn't a kind of a, The Pope is a kind of a [MASK]., IsA,"['falliable', 'village', 'priest', 'bishop']"
 mit, [MASK] is a kind of station. [MASK] isn't a kind of, MIT is a kind of [MASK]., IsA,['station']
 textiles, [MASK] are cloths. [MASK] aren't, Textiles are [MASK]., IsA,"['cloths', 'commodities']"
 cannon, [MASK] is a type of artillery. [MASK] isn't a type of, Cannon is a type of [MASK]., IsA,"['artillery', 'gun']"
 castle, [MASK] is a type of fortification. [MASK] isn't a type of, Castle is a type of [MASK]., IsA,"['fortification', 'book', 'home', 'piece', 'chessman']"
 alien, an illegal [MASK] is a kind of software. an illegal [MASK] isn't a kind of, An illegal alien is a kind of [MASK]., IsA,"['software', 'person', 'being']"
 novel, [MASK] is a type of story. [MASK] isn't a type of, Novel is a type of [MASK]., IsA,"['story', 'fiction', 'book']"
 topology, [MASK] is a kind of configuration. [MASK] isn't a kind of, Topology is a kind of [MASK]., IsA,"['configuration', 'math', 'topography']"
 bulbul, [MASK] is a nightingale. [MASK] isn't a, Bulbul is a [MASK]., IsA,"['nightingale', 'bird']"
 cabinet, similarity between a display [MASK] and a stool: both are items of box. similarity between a display [MASK] and a stool: both aren't items of, Similarity between a display cabinet and a stool: both are items of [MASK]., IsA,"['box', 'compartment', 'furniture', 'housing']"
 pepsi, [MASK] is a beverage. [MASK] isn't a, Pepsi is a [MASK]., IsA,"['beverage', 'cola']"
 world, the [MASK] is experience. the [MASK] isn't, The world is [MASK]., IsA,"['experience', 'part', 'tiny', 'homo', 'island', 'little', 'everything', 'class', 'group', 'rount']"
 turpentine, [MASK] is flamable. [MASK] isn't, Turpentine is [MASK]., IsA,"['flamable', 'oleoresin']"
 acting, [MASK] is an activity. [MASK] isn't an, Acting is an [MASK]., IsA,"['activity', 'communicating', 'pretending']"
 passwords, [MASK] are secrets. [MASK] aren't, Passwords are [MASK]., IsA,['secrets']
 language, [MASK] is communication medium. [MASK] isn't communication, Language is communication [MASK]., IsA,"['medium', 'communication', 'faculty']"
 procrastination, [MASK] is a type of behaviour. [MASK] isn't a type of, Procrastination is a type of [MASK]., IsA,"['behaviour', 'delay']"
 bush, [MASK] is american wilderness. [MASK] isn't american, Bush is american [MASK]., IsA,['wilderness']
 agate, [MASK] is a precious chalcedony. [MASK] isn't a precious, Agate is a precious [MASK]., IsA,"['chalcedony', 'mineral', 'gemstone']"
 bomber, a [MASK] is a type of aeroplane. a [MASK] isn't a type of, A bomber is a type of [MASK]., IsA,"['aeroplane', 'criminal', 'person', 'warplane', 'sandwich', 'airplane']"
 linux, [MASK] is free. [MASK] isn't, LINUX is [MASK]., IsA,"['free', 'software', 'well', 'stable']"
 ministers, [MASK] are politicians. [MASK] aren't, Ministers are [MASK]., IsA,['politicians']
 catalog, a [MASK] is a kind of list. a [MASK] isn't a kind of, A catalog is a kind of [MASK]., IsA,"['list', 'book']"
 fire, [MASK] is a type of old software. [MASK] isn't a type of old, Fire is a type of old [MASK]., IsA,"['software', 'happening', 'fireplace', 'element', 'book', 'fire', 'criticism', 'combustion', 'burning', 'fuel', 'scrub', 'trial', 'attack']"
 parallelogram, a [MASK] is a type of geometric quadrilateral. a [MASK] isn't a type of geometric, A parallelogram is a type of geometric [MASK]., IsA,['quadrilateral']
 memories, [MASK] are information. [MASK] aren't, Memories are [MASK]., IsA,['information']
 telemarketer, a [MASK] is a worker. a [MASK] isn't a, A telemarketer is a [MASK]., IsA,['worker']
 salt, [MASK] is a type of season. [MASK] isn't a type of, Salt is a type of [MASK]., IsA,"['season', 'taste', 'flavorer', 'crystal', 'compound', 'white-colored']"
 anteaters, [MASK] are mammals. [MASK] aren't, Anteaters are [MASK]., IsA,['mammals']
 genocide, [MASK] is a type of issue. [MASK] isn't a type of, Genocide is a type of [MASK]., IsA,"['issue', 'democide', 'killing', 'crime']"
 fluorine, [MASK] is a gas. [MASK] isn't a, Fluorine is a [MASK]., IsA,"['gas', 'halogen']"
 alabaster, [MASK] is a gypsum. [MASK] isn't a, Alabaster is a [MASK]., IsA,"['gypsum', 'mineral', 'calcite', 'white']"
 beluga, a [MASK] is a type of sturgeon. a [MASK] isn't a type of, A beluga is a type of [MASK]., IsA,"['sturgeon', 'fish', 'whale']"
 yacht, [MASK] is a type of fancy ship. [MASK] isn't a type of fancy, Yacht is a type of fancy [MASK]., IsA,"['ship', 'sailboat', 'vessel', 'boat']"
 sinkholes, [MASK] are caverns. [MASK] aren't, Sinkholes are [MASK]., IsA,['caverns']
 lizards, [MASK] are small scaly. [MASK] aren't small, Lizards are small [MASK]., IsA,"['scaly', 'animals']"
 laser, [MASK] is a type of light. [MASK] isn't a type of, Laser is a type of [MASK]., IsA,['light']
 arborvitae, holmstrup [MASK] is a conifer. holmstrup [MASK] isn't a, Holmstrup arborvitae is a [MASK]., IsA,['conifer']
 jogging, [MASK] is a exercise. [MASK] isn't a, Jogging is a [MASK]., IsA,"['exercise', 'exercising']"
 brickmason, a [MASK] is a type of tradesman. a [MASK] isn't a type of, A brickmason is a type of [MASK]., IsA,['tradesman']
 sweater, a [MASK] is something you top. a [MASK] isn't something you, A sweater is something you [MASK]., IsA,"['top', 'garment']"
 lilacs, [MASK] are plants. [MASK] aren't, Lilacs are [MASK]., IsA,['plants']
 pigs, [MASK] are omnivorous. [MASK] aren't, Pigs are [MASK]., IsA,"['omnivorous', 'mammals', 'song']"
 british, the [MASK] are pansys. the [MASK] aren't, The british are [MASK]., IsA,"['pansys', 'person', 'pansies', 'european', 'british']"
 jigglypuff, [MASK] is a kind of pokémon. [MASK] isn't a kind of, Jigglypuff is a kind of [MASK]., IsA,['pokémon']
 curfew, a [MASK] is a type of mandate. a [MASK] isn't a type of, A curfew is a type of [MASK]., IsA,"['mandate', 'rule', 'signal', 'deadline', 'decree', 'bell']"
 iris, [MASK] is a type of spring diaphragm. [MASK] isn't a type of spring, Iris is a type of spring [MASK]., IsA,"['diaphragm', 'epithelium', 'flower', 'album', 'membrane', 'monocot', 'plant', 'iris']"
 slug, [MASK] is a kind of food. [MASK] isn't a kind of, Slug is a kind of [MASK]., IsA,"['food', 'alcohol', 'gastropod', 'coin']"
 brass, [MASK] is a alloy. [MASK] isn't a, Brass is a [MASK]., IsA,"['alloy', 'family', 'decoration', 'section', 'memorial', 'album', 'bronze', 'plate']"
 chesterfield, a [MASK] is a couch. a [MASK] isn't a, A chesterfield is a [MASK]., IsA,"['couch', 'greatcoat', 'coat', 'davenport', 'town']"
 toilet, a [MASK] is a kind of dressing. a [MASK] isn't a kind of, A toilet is a kind of [MASK]., IsA,"['dressing', 'room', 'commode']"
 nitroglycerin, [MASK] is a vasodilator. [MASK] isn't a, Nitroglycerin is a [MASK]., IsA,"['vasodilator', 'nitrate']"
 toilets, some [MASK] are unsanitary. some [MASK] aren't, Some toilets are [MASK]., IsA,['unsanitary']
 toads, frogs and [MASK] are amphibians. frogs and [MASK] aren't, Frogs and toads are [MASK]., IsA,"['amphibians', 'aphibians']"
 hardtack, [MASK] is a type of food. [MASK] isn't a type of, Hardtack is a type of [MASK]., IsA,"['food', 'biscuit', 'mahogany', 'flatbread']"
 vegetables, some [MASK] are plants. some [MASK] aren't, Some vegetables are [MASK]., IsA,"['plants', 'tubers', 'commonly', 'food']"
 dolphin, a [MASK] is a kind of software. a [MASK] isn't a kind of, A dolphin is a kind of [MASK]., IsA,"['software', 'fish']"
 pickle, a [MASK] is a kind of cucumber. a [MASK] isn't a kind of, A pickle is a kind of [MASK]., IsA,"['cucumber', 'relish', 'food']"
 bamboo, [MASK] is a wood. [MASK] isn't a, Bamboo is a [MASK]., IsA,"['wood', 'plant']"
 newspapers, [MASK] are documents. [MASK] aren't, Newspapers are [MASK]., IsA,"['documents', 'papers.on']"
 cellphone, [MASK] is a kind of phone. [MASK] isn't a kind of, Cellphone is a kind of [MASK]., IsA,['phone']
 dishes, [MASK] are circles. [MASK] aren't, Dishes are [MASK]., IsA,"['circles', 'containers']"
 infinitesimal, [MASK] is a variable. [MASK] isn't a, Infinitesimal is a [MASK]., IsA,['variable']
 ponds, some [MASK] are swamps. some [MASK] aren't, Some ponds are [MASK]., IsA,['swamps']
 penicillin, [MASK] is a type of antibiotic. [MASK] isn't a type of, Penicillin is a type of [MASK]., IsA,"['antibiotic', 'drug']"
 ford, [MASK] is jprime. [MASK] isn't, Ford is [MASK]., IsA,"['jprime', 'crossing']"
 door, [MASK] is wall entree. [MASK] isn't wall, Door is wall [MASK]., IsA,"['entree', 'room', 'structure']"
 planer, a [MASK] is a type of tool. a [MASK] isn't a type of, A planer is a type of [MASK]., IsA,['tool']
 teacup, a [MASK] is a cup. a [MASK] isn't a, A teacup is a [MASK]., IsA,"['cup', 'containerful']"
 hot, [MASK] is an weapon. [MASK] isn't an, Hot is an [MASK]., IsA,['weapon']
 bigotry, [MASK] is a type of belief. [MASK] isn't a type of, Bigotry is a type of [MASK]., IsA,"['belief', 'opinion', 'intolerance', 'prejudice']"
 tylenol, [MASK] is a kind of medicine. [MASK] isn't a kind of, Tylenol is a kind of [MASK]., IsA,"['medicine', 'product', 'acetaminophen']"
 dachshund, a [MASK] is a dog. a [MASK] isn't a, A dachshund is a [MASK]., IsA,['dog']
 pinguin, [MASK] is a animal. [MASK] isn't a, Pinguin is a [MASK]., IsA,['animal']
 hacker, [MASK] is a kind of programmer. [MASK] isn't a kind of, Hacker is a kind of [MASK]., IsA,"['programmer', 'golfer', 'terrorist', 'person']"
 roofer, a [MASK] is a type of tradesperson. a [MASK] isn't a type of, A roofer is a type of [MASK]., IsA,"['tradesperson', 'craftsman', 'tradesman']"
 spider, [MASK] is a type of program. [MASK] isn't a type of, Spider is a type of [MASK]., IsA,"['program', 'arachnid']"
 australia, [MASK] is a kind of continent. [MASK] isn't a kind of, Australia is a kind of [MASK]., IsA,"['continent', 'country', 'antipodes', 'island', 'game']"
 xenon, [MASK] is an gas. [MASK] isn't an, Xenon is an [MASK]., IsA,['gas']
 lynx, [MASK] is another animal. [MASK] isn't another, Lynx is another [MASK]., IsA,"['animal', 'wildcat', 'cat', 'constellation']"
 architecture, [MASK] is a kind of discipline. [MASK] isn't a kind of, Architecture is a kind of [MASK]., IsA,"['discipline', 'profession', 'occupation', 'science', 'designing', 'building']"
 information, [MASK] is a cognition. [MASK] isn't a, Information is a [MASK]., IsA,"['cognition', 'abstraction', 'message', 'Knowledge', 'data', 'accusation']"
 nokia, [MASK] is a finnish company. [MASK] isn't a finnish, Nokia is a Finnish [MASK]., IsA,['company']
 codeine, [MASK] is a type of drug. [MASK] isn't a type of, Codeine is a type of [MASK]., IsA,"['drug', 'morphine', 'antitussive', 'analgesic', 'opiate']"
 illinois, [MASK] is a kind of algonquin. [MASK] isn't a kind of, Illinois is a kind of [MASK]., IsA,"['Algonquin', 'Algonquian', 'building']"
 walkman, a [MASK] is a type of radio. a [MASK] isn't a type of, A Walkman is a type of [MASK]., IsA,['radio']
 absolut, [MASK] is a kind of vodka. [MASK] isn't a kind of, Absolut is a kind of [MASK]., IsA,['vodka']
 adventure, [MASK] has a undertaking. [MASK] doesn't have a, Adventure has a [MASK]., IsA,['undertaking']
 yew, densiformis [MASK] is a wood. densiformis [MASK] isn't a, Densiformis yew is a [MASK]., IsA,"['wood', 'conifer']"
 fences, [MASK] are boundaries. [MASK] aren't, Fences are [MASK]., IsA,['boundaries']
 surgeons, [MASK] are people. [MASK] aren't, Surgeons are [MASK]., IsA,['people']
 rutabagas, [MASK] are vegetables. [MASK] aren't, Rutabagas are [MASK]., IsA,['vegetables']
 badminton, [MASK] is a fun sport. [MASK] isn't a fun, Badminton is a fun [MASK]., IsA,['sport']
 pelican, a [MASK] is a kind of waterfowl. a [MASK] isn't a kind of, A pelican is a kind of [MASK]., IsA,"['waterfowl', 'seabird', 'bird']"
 carpenter, a [MASK] is a type of tradesperson. a [MASK] isn't a type of, A carpenter is a type of [MASK]., IsA,"['tradesperson', 'woodworker', 'tradesman']"
 parent, a [MASK] is a kind of child. a [MASK] isn't a kind of, A parent is a kind of [MASK]., IsA,"['child', 'family', 'guardian', 'organism', 'person', 'ancestor', 'animal', 'genitor']"
 cranberries," the ""[MASK]"" are a band. the ""[MASK]"" aren't a"," The ""Cranberries"" are a [MASK].", IsA,['band']
 laws, [MASK] are rules. [MASK] aren't, Laws are [MASK]., IsA,"['rules', 'guides']"
 scientists, some [MASK] are subordinates. some [MASK] aren't, Some scientists are [MASK]., IsA,['subordinates']
 abortion, an [MASK] is a kind of operation. an [MASK] isn't a kind of, An abortion is a kind of [MASK]., IsA,"['operation', 'termination', 'disease', 'issue']"
 live, [MASK] is album. [MASK] isn't, Live is [MASK]., IsA,"['album', 'mystery', 'book']"
 pine, [MASK] is a wood. [MASK] isn't a, Pine is a [MASK]., IsA,"['wood', 'software', 'conifer']"
 human, [MASK] is primate. [MASK] isn't, Human is [MASK]., IsA,"['primate', 'person', 'hypocrit', 'hypocrites', 'animal']"
 thursday, [MASK] is a weekday. [MASK] isn't a, Thursday is a [MASK]., IsA,"['weekday', 'film', 'day']"
 croatia, [MASK] is a kind of country. [MASK] isn't a kind of, Croatia is a kind of [MASK]., IsA,['country']
 ball, a [MASK] is a kind of pitch. a [MASK] isn't a kind of, A ball is a kind of [MASK]., IsA,"['pitch', 'plaything', 'software', 'agglomeration', 'dance', 'event', 'structure', 'sphere', 'celebration', 'party']"
 blog, [MASK] is a type of diary. [MASK] isn't a type of, Blog is a type of [MASK]., IsA,"['diary', 'website']"
 horizon, the [MASK] is an single. the [MASK] isn't an, The horizon is an [MASK]., IsA,"['single', 'scope', 'stratum', 'line']"
 detainee, a [MASK] was sodomised. a [MASK] didn't be, A detainee was [MASK]., IsA,"['sodomised', 'prisoner']"
 imsa, [MASK] is a kind of school. [MASK] isn't a kind of, IMSA is a kind of [MASK]., IsA,['school']
 flys, [MASK] are pests. [MASK] aren't, Flys are [MASK]., IsA,['pests']
 spirit, [MASK] is atmosphere. [MASK] isn't, Spirit is [MASK]., IsA,"['atmosphere', 'character', 'mob']"
 red, [MASK] is acolor. [MASK] isn't, Red is [MASK]., IsA,"['acolor', 'colour']"
 guitar, [MASK] is a kind of lute. [MASK] isn't a kind of, Guitar is a kind of [MASK]., IsA,"['lute', 'instrument', 'chordophone']"
 ohm, [MASK] is a type of unit of measurement. [MASK] isn't a type of unit of, Ohm is a type of unit of [MASK]., IsA,"['measurement', 'river']"
 buckets, [MASK] are watertight. [MASK] aren't, Buckets are [MASK]., IsA,['watertight']
 torture, [MASK] is a kind of pain. [MASK] isn't a kind of, Torture is a kind of [MASK]., IsA,"['pain', 'violence', 'persecution']"
 fireboard, a [MASK] is a kind of firestick. a [MASK] isn't a kind of, A fireboard is a kind of [MASK]., IsA,['firestick']
 california, [MASK] is a dandelion. [MASK] isn't a, California is a [MASK]., IsA,['dandelion']
 dependability, [MASK] is a responsibility. [MASK] isn't a, Dependability is a [MASK]., IsA,['responsibility']
 hug, a [MASK] is a kind of action. a [MASK] isn't a kind of, A hug is a kind of [MASK]., IsA,"['action', 'embrace']"
 metal, [MASK] is gleam. [MASK] isn't, Metal is [MASK]., IsA,"['gleam', 'shiney', 'music', 'ductile']"
 tires, some [MASK] are inflatable. some [MASK] aren't, Some tires are [MASK]., IsA,['inflatable']
 people, some [MASK] are scientists. some [MASK] aren't, Some people are [MASK]., IsA,"['scientists', 'janitors', 'judges', 'bullies', 'greedy;', 'Mexicans', 'Christians', 'Americans', 'grandsons', 'firemen', 'podiatrists', 'bisexuals', 'everywhere', 'receptionists', 'geologists', 'teachers', 'secretaries', 'chemists', 'jerks', 'bazaar', 'individuals', 'physicians', 'not', 'hairdressers', 'criminals', 'celebrities', 'calculators', 'regularly', 'lawyers', 'laborers', 'politicians', 'messengers', 'Indians', 'drycleaners', 'grocers', 'family', 'extroverted', 'dancing', 'entrepreneurs', 'parents', 'liars', 'exercising', 'clerks', 'cartologists', 'hypocrites', 'group', 'alcoholics', 'better', 'veterinarians', 'idiots', 'magazine', 'managers', 'chefs', 'translators', 'persons', 'peacemakers', 'psychologists', 'less', 'headaches', 'drifters', 'democrats']"
 crustacean, [MASK] is a type of animal. [MASK] isn't a type of, Crustacean is a type of [MASK]., IsA,"['animal', 'crustacean', 'arthropod']"
 glass, jar is a type of [MASK] [MASK]. jar isn't a type of [MASK], Jar is a type of glass [MASK]., IsA,"['glass', 'achromatism', 'container', 'containerful', 'solid', 'breakable', 'glassware', 'beaker']"
 forest, a [MASK] is an land. a [MASK] isn't an, A forest is an [MASK]., IsA,"['land', 'single', 'not', 'biome', 'wild', 'vegetation']"
 indica, [MASK] is a type of marijuana. [MASK] isn't a type of, Indica is a type of [MASK]., IsA,"['marijuana', 'marijuanna']"
 sand, [MASK] is soil. [MASK] isn't, Sand is [MASK]., IsA,"['soil', 'ground', 'also', 'plentifull']"
 baseball, [MASK] is a sport. [MASK] isn't a, Baseball is a [MASK]., IsA,"['sport', 'orb', 'burgoise', 'ball']"
 popeye, [MASK] is a weapon. [MASK] isn't a, Popeye is a [MASK]., IsA,['weapon']
 islam, [MASK] is a civilization. [MASK] isn't a, Islam is a [MASK]., IsA,"['civilization', 'monotheism', 'religion', 'monotheistic']"
 partygoers, [MASK] are people. [MASK] aren't, Partygoers are [MASK]., IsA,['people']
 rabbit, [MASK] is lagomorph. [MASK] isn't, Rabbit is [MASK]., IsA,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
 penguins, [MASK] are small cute funny-looking. [MASK] aren't small cute, Penguins are small cute [MASK]., IsA,"['funny-looking', 'animals']"
 birthday, [MASK] is birth date. [MASK] isn't birth, Birthday is birth [MASK]., IsA,"['date', 'anniversary']"
 filbert, a [MASK] is a birch. a [MASK] isn't a, A filbert is a [MASK]., IsA,"['birch', 'tree']"
 shame, [MASK] is a kind of emotion. [MASK] isn't a kind of, Shame is a kind of [MASK]., IsA,"['emotion', 'dishonor', 'book', 'embarrassment', 'feeling']"
 reflex, sneeze is [MASK] reaction. sneeze isn't [MASK], Sneeze is reflex [MASK]., IsA,['reaction']
 silica, [MASK] is a oxide. [MASK] isn't a, Silica is a [MASK]., IsA,['oxide']
 courting, [MASK] is dating. [MASK] isn't, Courting is [MASK]., IsA,['dating']
 tennisball, a [MASK] is a kind of ball. a [MASK] isn't a kind of, A tennisball is a kind of [MASK]., IsA,['ball']
 vise, [MASK] is tool. [MASK] isn't, Vise is [MASK]., IsA,['tool']
 palaces, [MASK] are buildings. [MASK] aren't, Palaces are [MASK]., IsA,['buildings']
 nausea, [MASK] is a kind of disgust. [MASK] isn't a kind of, Nausea is a kind of [MASK]., IsA,"['disgust', 'book', 'illness', 'symptom']"
 gnocchi, [MASK] is a kind of dumpling. [MASK] isn't a kind of, Gnocchi is a kind of [MASK]., IsA,"['dumpling', 'pasta', 'food']"
 indigo, [MASK] is a violet. [MASK] isn't a, Indigo is a [MASK]., IsA,"['violet', 'person', 'shrub']"
 rabbit, a [MASK] is lagomorph. a [MASK] isn't, A rabbit is [MASK]., IsA,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
 prefixes, computers and [MASK] are both tools. computers and [MASK] aren't both, Computers and prefixes are both [MASK]., IsA,['tools']
 shot, a [MASK] is a kind of charge. a [MASK] isn't a kind of, A shot is a kind of [MASK]., IsA,"['charge', 'opportunity', 'attempt', 'projectile', 'injection', 'expert', 'blow', 'remark', 'treatment']"
 propane, [MASK] is a kind of gas. [MASK] isn't a kind of, Propane is a kind of [MASK]., IsA,"['gas', 'alkane', 'fuel']"
 slavery, [MASK] is labor. [MASK] isn't, Slavery is [MASK]., IsA,"['labor', 'coercion', 'widely', 'practice']"
 triangle, a [MASK] is a kind of tool. a [MASK] isn't a kind of, A triangle is a kind of [MASK]., IsA,"['tool', 'shape', 'polygon']"
 payday, [MASK] is a kind of candy. [MASK] isn't a kind of, PayDay is a kind of [MASK]., IsA,"['candy', 'day']"
 felines, [MASK] are carnivores. [MASK] aren't, Felines are [MASK]., IsA,['carnivores']
 conoe, a [MASK] is a type of boat. a [MASK] isn't a type of, A conoe is a type of [MASK]., IsA,['boat']
 pewter, [MASK] is a kind of alloy. [MASK] isn't a kind of, Pewter is a kind of [MASK]., IsA,"['alloy', 'metal']"
 wasps, [MASK] are insects. [MASK] aren't, Wasps are [MASK]., IsA,['insects']
 computors, [MASK] are machines. [MASK] aren't, Computors are [MASK]., IsA,['machines']
 helium, [MASK] is a gas. [MASK] isn't a, Helium is a [MASK]., IsA,['gas']
 morphine, [MASK] is an drug. [MASK] isn't an, Morphine is an [MASK]., IsA,"['drug', 'crystal', 'phenol', 'bitterness', 'analgesic', 'opiate']"
 tea, [MASK] is a meal. [MASK] isn't a, Tea is a [MASK]., IsA,"['meal', 'shrub', 'beverage', 'reception', 'herb']"
 music, [MASK] is a activity. [MASK] isn't a, Music is a [MASK]., IsA,"['activity', 'sounds', 'language', 'punishment', 'always', 'sound']"
 gasoline, [MASK] is a combustible. [MASK] isn't a, Gasoline is a [MASK]., IsA,"['combustible', 'hydrocarbon', 'fuel']"
 system, a [MASK] is a substance. a [MASK] isn't a, A system is a [MASK]., IsA,"['substance', 'group', 'instrumentality', 'method']"
 lcd, [MASK] is a type of fpd. [MASK] isn't a type of, LCD is a type of [MASK]., IsA,"['fpd', 'screens']"
 lsd, [MASK] is a medicine. [MASK] isn't a, LSD is a [MASK]., IsA,"['medicine', 'hallucinogen']"
 water, [MASK] is a achromatism. [MASK] isn't a, Water is a [MASK]., IsA,"['achromatism', 'oxyde', 'liquid', 'hydride', 'nutrient', 'food', 'beverage', 'water', 'element', 'life', 'chemical', 'H2O']"
 hunger, [MASK] is a desire. [MASK] isn't a, Hunger is a [MASK]., IsA,"['desire', 'sensation', 'drive']"
