word,prompt,opposite_sent,relation,completion
 time, Time is a type of experience. Time isn't a type of, Time is a type of, IsA,"['experience', 'case', 'musical', 'single', 'multi-dimensional', 'moment', 'money', 'arbatrary', 'attribute', 'magazine']"
 ginseng, Ginseng is a herb. Ginseng isn't a, Ginseng is a, IsA,"['herb', 'root']"
 moldavia, Moldavia is a kind of country. Moldavia isn't a kind of, Moldavia is a kind of, IsA,['country']
 rhododendron, Rhododendron is a plant. Rhododendron isn't a, Rhododendron is a, IsA,"['plant', 'shrub']"
 recorder, A recorder is a equipment. A recorder isn't a, A recorder is a, IsA,"['equipment', 'judge']"
 pressure, Pressure is a kind of force. Pressure isn't a kind of, Pressure is a kind of, IsA,"['force', 'somesthesia', 'sensation', 'distress']"
 flowers, Some flowers are perennials. Some flowers aren't, Some flowers are, IsA,"['perennials', 'traditionally', 'domesticated', 'annuals', 'magazine']"
 ostriches, Ostriches are birds. Ostriches aren't, Ostriches are, IsA,"['birds', 'animals']"
 pepper, Pepper is a type of season. Pepper isn't a type of, Pepper is a type of, IsA,"['season', 'flavorer', 'spice', 'condiment', 'vegetable', 'spicey', 'fruit']"
 ship, A ship is an watercraft. A ship isn't an, A ship is an, IsA,"['watercraft', 'vessel', 'boat']"
 wheel, A wheel is a part. A wheel isn't a, A wheel is a, IsA,"['part', 'machine', 'force', 'bicycle', 'helm']"
 ω, Ω is a kind of infinity. Ω isn't a kind of, Ω is a kind of, IsA,"['infinity', 'ordinal']"
 actress, An actress is a kind of person. An actress isn't a kind of, An actress is a kind of, IsA,"['person', 'actor']"
 peregrine, A peregrine is a type of falcon. A peregrine isn't a type of, A peregrine is a type of, IsA,['falcon']
 shoelace, A shoelace is a kind of lace. A shoelace isn't a kind of, A shoelace is a kind of, IsA,"['lace', 'footwear', 'fastener', 'object']"
 religions, Some religions are monotheistic. Some religions aren't, Some religions are, IsA,['monotheistic']
 hemoglobin, Hemoglobin is a hemoprotein. Hemoglobin isn't a, Hemoglobin is a, IsA,['hemoprotein']
 polyethylene, Polyethylene is a alkane. Polyethylene isn't a, Polyethylene is a, IsA,"['alkane', 'solid']"
 door, Door is a type of entree. Door isn't a type of, Door is a type of, IsA,"['entree', 'room', 'structure']"
 motorola, Motorola is a company. Motorola isn't a, Motorola is a, IsA,['company']
 saucers, Saucers are discs. Saucers aren't, Saucers are, IsA,['discs']
 pope, The Pope is a kind of a falliable. The Pope isn't a kind of a, The Pope is a kind of a, IsA,"['falliable', 'village', 'priest', 'bishop']"
 mit, MIT is a kind of station. MIT isn't a kind of, MIT is a kind of, IsA,['station']
 textiles, Textiles are cloths. Textiles aren't, Textiles are, IsA,"['cloths', 'commodities']"
 cannon, Cannon is a type of artillery. Cannon isn't a type of, Cannon is a type of, IsA,"['artillery', 'gun']"
 castle, Castle is a type of fortification. Castle isn't a type of, Castle is a type of, IsA,"['fortification', 'book', 'home', 'piece', 'chessman']"
 alien, An illegal alien is a kind of software. An illegal alien isn't a kind of, An illegal alien is a kind of, IsA,"['software', 'person', 'being']"
 novel, Novel is a type of story. Novel isn't a type of, Novel is a type of, IsA,"['story', 'fiction', 'book']"
 topology, Topology is a kind of configuration. Topology isn't a kind of, Topology is a kind of, IsA,"['configuration', 'math', 'topography']"
 bulbul, Bulbul is a nightingale. Bulbul isn't a, Bulbul is a, IsA,"['nightingale', 'bird']"
 cabinet, Similarity between a display cabinet and a stool: both are items of box. Similarity between a display cabinet and a stool: both aren't items of, Similarity between a display cabinet and a stool: both are items of, IsA,"['box', 'compartment', 'furniture', 'housing']"
 pepsi, Pepsi is a beverage. Pepsi isn't a, Pepsi is a, IsA,"['beverage', 'cola']"
 world, The world is experience. The world isn't, The world is, IsA,"['experience', 'part', 'tiny', 'homo', 'island', 'little', 'everything', 'class', 'group', 'rount']"
 turpentine, Turpentine is flamable. Turpentine isn't, Turpentine is, IsA,"['flamable', 'oleoresin']"
 acting, Acting is an activity. Acting isn't an, Acting is an, IsA,"['activity', 'communicating', 'pretending']"
 passwords, Passwords are secrets. Passwords aren't, Passwords are, IsA,['secrets']
 language, Language is communication medium. Language isn't communication, Language is communication, IsA,"['medium', 'communication', 'faculty']"
 procrastination, Procrastination is a type of behaviour. Procrastination isn't a type of, Procrastination is a type of, IsA,"['behaviour', 'delay']"
 bush, Bush is american wilderness. Bush isn't american, Bush is american, IsA,['wilderness']
 agate, Agate is a precious chalcedony. Agate isn't a precious, Agate is a precious, IsA,"['chalcedony', 'mineral', 'gemstone']"
 bomber, A bomber is a type of aeroplane. A bomber isn't a type of, A bomber is a type of, IsA,"['aeroplane', 'criminal', 'person', 'warplane', 'sandwich', 'airplane']"
 linux, LINUX is free. LINUX isn't, LINUX is, IsA,"['free', 'software', 'well', 'stable']"
 ministers, Ministers are politicians. Ministers aren't, Ministers are, IsA,['politicians']
 catalog, A catalog is a kind of list. A catalog isn't a kind of, A catalog is a kind of, IsA,"['list', 'book']"
 fire, Fire is a type of old software. Fire isn't a type of old, Fire is a type of old, IsA,"['software', 'happening', 'fireplace', 'element', 'book', 'fire', 'criticism', 'combustion', 'burning', 'fuel', 'scrub', 'trial', 'attack']"
 parallelogram, A parallelogram is a type of geometric quadrilateral. A parallelogram isn't a type of geometric, A parallelogram is a type of geometric, IsA,['quadrilateral']
 memories, Memories are information. Memories aren't, Memories are, IsA,['information']
 telemarketer, A telemarketer is a worker. A telemarketer isn't a, A telemarketer is a, IsA,['worker']
 salt, Salt is a type of season. Salt isn't a type of, Salt is a type of, IsA,"['season', 'taste', 'flavorer', 'crystal', 'compound', 'white-colored']"
 anteaters, Anteaters are mammals. Anteaters aren't, Anteaters are, IsA,['mammals']
 genocide, Genocide is a type of issue. Genocide isn't a type of, Genocide is a type of, IsA,"['issue', 'democide', 'killing', 'crime']"
 fluorine, Fluorine is a gas. Fluorine isn't a, Fluorine is a, IsA,"['gas', 'halogen']"
 alabaster, Alabaster is a gypsum. Alabaster isn't a, Alabaster is a, IsA,"['gypsum', 'mineral', 'calcite', 'white']"
 beluga, A beluga is a type of sturgeon. A beluga isn't a type of, A beluga is a type of, IsA,"['sturgeon', 'fish', 'whale']"
 yacht, Yacht is a type of fancy ship. Yacht isn't a type of fancy, Yacht is a type of fancy, IsA,"['ship', 'sailboat', 'vessel', 'boat']"
 sinkholes, Sinkholes are caverns. Sinkholes aren't, Sinkholes are, IsA,['caverns']
 lizards, Lizards are small scaly. Lizards aren't small, Lizards are small, IsA,"['scaly', 'animals']"
 laser, Laser is a type of light. Laser isn't a type of, Laser is a type of, IsA,['light']
 arborvitae, Holmstrup arborvitae is a conifer. Holmstrup arborvitae isn't a, Holmstrup arborvitae is a, IsA,['conifer']
 jogging, Jogging is a exercise. Jogging isn't a, Jogging is a, IsA,"['exercise', 'exercising']"
 brickmason, A brickmason is a type of tradesman. A brickmason isn't a type of, A brickmason is a type of, IsA,['tradesman']
 sweater, A sweater is something you top. A sweater isn't something you, A sweater is something you, IsA,"['top', 'garment']"
 lilacs, Lilacs are plants. Lilacs aren't, Lilacs are, IsA,['plants']
 pigs, Pigs are omnivorous. Pigs aren't, Pigs are, IsA,"['omnivorous', 'mammals', 'song']"
 british, The british are pansys. The british aren't, The british are, IsA,"['pansys', 'person', 'pansies', 'european', 'british']"
 jigglypuff, Jigglypuff is a kind of pokémon. Jigglypuff isn't a kind of, Jigglypuff is a kind of, IsA,['pokémon']
 curfew, A curfew is a type of mandate. A curfew isn't a type of, A curfew is a type of, IsA,"['mandate', 'rule', 'signal', 'deadline', 'decree', 'bell']"
 iris, Iris is a type of spring diaphragm. Iris isn't a type of spring, Iris is a type of spring, IsA,"['diaphragm', 'epithelium', 'flower', 'album', 'membrane', 'monocot', 'plant', 'iris']"
 slug, Slug is a kind of food. Slug isn't a kind of, Slug is a kind of, IsA,"['food', 'alcohol', 'gastropod', 'coin']"
 brass, Brass is a alloy. Brass isn't a, Brass is a, IsA,"['alloy', 'family', 'decoration', 'section', 'memorial', 'album', 'bronze', 'plate']"
 chesterfield, A chesterfield is a couch. A chesterfield isn't a, A chesterfield is a, IsA,"['couch', 'greatcoat', 'coat', 'davenport', 'town']"
 toilet, A toilet is a kind of dressing. A toilet isn't a kind of, A toilet is a kind of, IsA,"['dressing', 'room', 'commode']"
 nitroglycerin, Nitroglycerin is a vasodilator. Nitroglycerin isn't a, Nitroglycerin is a, IsA,"['vasodilator', 'nitrate']"
 toilets, Some toilets are unsanitary. Some toilets aren't, Some toilets are, IsA,['unsanitary']
 toads, Frogs and toads are amphibians. Frogs and toads aren't, Frogs and toads are, IsA,"['amphibians', 'aphibians']"
 hardtack, Hardtack is a type of food. Hardtack isn't a type of, Hardtack is a type of, IsA,"['food', 'biscuit', 'mahogany', 'flatbread']"
 vegetables, Some vegetables are plants. Some vegetables aren't, Some vegetables are, IsA,"['plants', 'tubers', 'commonly', 'food']"
 dolphin, A dolphin is a kind of software. A dolphin isn't a kind of, A dolphin is a kind of, IsA,"['software', 'fish']"
 pickle, A pickle is a kind of cucumber. A pickle isn't a kind of, A pickle is a kind of, IsA,"['cucumber', 'relish', 'food']"
 bamboo, Bamboo is a wood. Bamboo isn't a, Bamboo is a, IsA,"['wood', 'plant']"
 newspapers, Newspapers are documents. Newspapers aren't, Newspapers are, IsA,"['documents', 'papers.on']"
 cellphone, Cellphone is a kind of phone. Cellphone isn't a kind of, Cellphone is a kind of, IsA,['phone']
 dishes, Dishes are circles. Dishes aren't, Dishes are, IsA,"['circles', 'containers']"
 infinitesimal, Infinitesimal is a variable. Infinitesimal isn't a, Infinitesimal is a, IsA,['variable']
 ponds, Some ponds are swamps. Some ponds aren't, Some ponds are, IsA,['swamps']
 penicillin, Penicillin is a type of antibiotic. Penicillin isn't a type of, Penicillin is a type of, IsA,"['antibiotic', 'drug']"
 ford, Ford is jprime. Ford isn't, Ford is, IsA,"['jprime', 'crossing']"
 door, Door is wall entree. Door isn't wall, Door is wall, IsA,"['entree', 'room', 'structure']"
 planer, A planer is a type of tool. A planer isn't a type of, A planer is a type of, IsA,['tool']
 teacup, A teacup is a cup. A teacup isn't a, A teacup is a, IsA,"['cup', 'containerful']"
 hot, Hot is an weapon. Hot isn't an, Hot is an, IsA,['weapon']
 bigotry, Bigotry is a type of belief. Bigotry isn't a type of, Bigotry is a type of, IsA,"['belief', 'opinion', 'intolerance', 'prejudice']"
 tylenol, Tylenol is a kind of medicine. Tylenol isn't a kind of, Tylenol is a kind of, IsA,"['medicine', 'product', 'acetaminophen']"
 dachshund, A dachshund is a dog. A dachshund isn't a, A dachshund is a, IsA,['dog']
 pinguin, Pinguin is a animal. Pinguin isn't a, Pinguin is a, IsA,['animal']
 hacker, Hacker is a kind of programmer. Hacker isn't a kind of, Hacker is a kind of, IsA,"['programmer', 'golfer', 'terrorist', 'person']"
 roofer, A roofer is a type of tradesperson. A roofer isn't a type of, A roofer is a type of, IsA,"['tradesperson', 'craftsman', 'tradesman']"
 spider, Spider is a type of program. Spider isn't a type of, Spider is a type of, IsA,"['program', 'arachnid']"
 australia, Australia is a kind of continent. Australia isn't a kind of, Australia is a kind of, IsA,"['continent', 'country', 'antipodes', 'island', 'game']"
 xenon, Xenon is an gas. Xenon isn't an, Xenon is an, IsA,['gas']
 lynx, Lynx is another animal. Lynx isn't another, Lynx is another, IsA,"['animal', 'wildcat', 'cat', 'constellation']"
 architecture, Architecture is a kind of discipline. Architecture isn't a kind of, Architecture is a kind of, IsA,"['discipline', 'profession', 'occupation', 'science', 'designing', 'building']"
 information, Information is a cognition. Information isn't a, Information is a, IsA,"['cognition', 'abstraction', 'message', 'Knowledge', 'data', 'accusation']"
 nokia, Nokia is a Finnish company. Nokia isn't a Finnish, Nokia is a Finnish, IsA,['company']
 codeine, Codeine is a type of drug. Codeine isn't a type of, Codeine is a type of, IsA,"['drug', 'morphine', 'antitussive', 'analgesic', 'opiate']"
 illinois, Illinois is a kind of Algonquin. Illinois isn't a kind of, Illinois is a kind of, IsA,"['Algonquin', 'Algonquian', 'building']"
 walkman, A Walkman is a type of radio. A Walkman isn't a type of, A Walkman is a type of, IsA,['radio']
 absolut, Absolut is a kind of vodka. Absolut isn't a kind of, Absolut is a kind of, IsA,['vodka']
 adventure, Adventure has a undertaking. Adventure doesn't have a, Adventure has a, IsA,['undertaking']
 yew, Densiformis yew is a wood. Densiformis yew isn't a, Densiformis yew is a, IsA,"['wood', 'conifer']"
 fences, Fences are boundaries. Fences aren't, Fences are, IsA,['boundaries']
 surgeons, Surgeons are people. Surgeons aren't, Surgeons are, IsA,['people']
 rutabagas, Rutabagas are vegetables. Rutabagas aren't, Rutabagas are, IsA,['vegetables']
 badminton, Badminton is a fun sport. Badminton isn't a fun, Badminton is a fun, IsA,['sport']
 pelican, A pelican is a kind of waterfowl. A pelican isn't a kind of, A pelican is a kind of, IsA,"['waterfowl', 'seabird', 'bird']"
 carpenter, A carpenter is a type of tradesperson. A carpenter isn't a type of, A carpenter is a type of, IsA,"['tradesperson', 'woodworker', 'tradesman']"
 parent, A parent is a kind of child. A parent isn't a kind of, A parent is a kind of, IsA,"['child', 'family', 'guardian', 'organism', 'person', 'ancestor', 'animal', 'genitor']"
 cranberries," The ""Cranberries"" are a band. The ""Cranberries"" aren't a"," The ""Cranberries"" are a", IsA,['band']
 laws, Laws are rules. Laws aren't, Laws are, IsA,"['rules', 'guides']"
 scientists, Some scientists are subordinates. Some scientists aren't, Some scientists are, IsA,['subordinates']
 abortion, An abortion is a kind of operation. An abortion isn't a kind of, An abortion is a kind of, IsA,"['operation', 'termination', 'disease', 'issue']"
 live, Live is album. Live isn't, Live is, IsA,"['album', 'mystery', 'book']"
 pine, Pine is a wood. Pine isn't a, Pine is a, IsA,"['wood', 'software', 'conifer']"
 human, Human is primate. Human isn't, Human is, IsA,"['primate', 'person', 'hypocrit', 'hypocrites', 'animal']"
 thursday, Thursday is a weekday. Thursday isn't a, Thursday is a, IsA,"['weekday', 'film', 'day']"
 croatia, Croatia is a kind of country. Croatia isn't a kind of, Croatia is a kind of, IsA,['country']
 ball, A ball is a kind of pitch. A ball isn't a kind of, A ball is a kind of, IsA,"['pitch', 'plaything', 'software', 'agglomeration', 'dance', 'event', 'structure', 'sphere', 'celebration', 'party']"
 blog, Blog is a type of diary. Blog isn't a type of, Blog is a type of, IsA,"['diary', 'website']"
 horizon, The horizon is an single. The horizon isn't an, The horizon is an, IsA,"['single', 'scope', 'stratum', 'line']"
 detainee, A detainee was sodomised. A detainee didn't be, A detainee was, IsA,"['sodomised', 'prisoner']"
 imsa, IMSA is a kind of school. IMSA isn't a kind of, IMSA is a kind of, IsA,['school']
 flys, Flys are pests. Flys aren't, Flys are, IsA,['pests']
 spirit, Spirit is atmosphere. Spirit isn't, Spirit is, IsA,"['atmosphere', 'character', 'mob']"
 red, Red is acolor. Red isn't, Red is, IsA,"['acolor', 'colour']"
 guitar, Guitar is a kind of lute. Guitar isn't a kind of, Guitar is a kind of, IsA,"['lute', 'instrument', 'chordophone']"
 ohm, Ohm is a type of unit of measurement. Ohm isn't a type of unit of, Ohm is a type of unit of, IsA,"['measurement', 'river']"
 buckets, Buckets are watertight. Buckets aren't, Buckets are, IsA,['watertight']
 torture, Torture is a kind of pain. Torture isn't a kind of, Torture is a kind of, IsA,"['pain', 'violence', 'persecution']"
 fireboard, A fireboard is a kind of firestick. A fireboard isn't a kind of, A fireboard is a kind of, IsA,['firestick']
 california, California is a dandelion. California isn't a, California is a, IsA,['dandelion']
 dependability, Dependability is a responsibility. Dependability isn't a, Dependability is a, IsA,['responsibility']
 hug, A hug is a kind of action. A hug isn't a kind of, A hug is a kind of, IsA,"['action', 'embrace']"
 metal, Metal is gleam. Metal isn't, Metal is, IsA,"['gleam', 'shiney', 'music', 'ductile']"
 tires, Some tires are inflatable. Some tires aren't, Some tires are, IsA,['inflatable']
 people, Some people are scientists. Some people aren't, Some people are, IsA,"['scientists', 'janitors', 'judges', 'bullies', 'greedy;', 'Mexicans', 'Christians', 'Americans', 'grandsons', 'firemen', 'podiatrists', 'bisexuals', 'everywhere', 'receptionists', 'geologists', 'teachers', 'secretaries', 'chemists', 'jerks', 'bazaar', 'individuals', 'physicians', 'not', 'hairdressers', 'criminals', 'celebrities', 'calculators', 'regularly', 'lawyers', 'laborers', 'politicians', 'messengers', 'Indians', 'drycleaners', 'grocers', 'family', 'extroverted', 'dancing', 'entrepreneurs', 'parents', 'liars', 'exercising', 'clerks', 'cartologists', 'hypocrites', 'group', 'alcoholics', 'better', 'veterinarians', 'idiots', 'magazine', 'managers', 'chefs', 'translators', 'persons', 'peacemakers', 'psychologists', 'less', 'headaches', 'drifters', 'democrats']"
 crustacean, Crustacean is a type of animal. Crustacean isn't a type of, Crustacean is a type of, IsA,"['animal', 'crustacean', 'arthropod']"
 glass, Jar is a type of glass glass. Jar isn't a type of glass, Jar is a type of glass, IsA,"['glass', 'achromatism', 'container', 'containerful', 'solid', 'breakable', 'glassware', 'beaker']"
 forest, A forest is an land. A forest isn't an, A forest is an, IsA,"['land', 'single', 'not', 'biome', 'wild', 'vegetation']"
 indica, Indica is a type of marijuana. Indica isn't a type of, Indica is a type of, IsA,"['marijuana', 'marijuanna']"
 sand, Sand is soil. Sand isn't, Sand is, IsA,"['soil', 'ground', 'also', 'plentifull']"
 baseball, Baseball is a sport. Baseball isn't a, Baseball is a, IsA,"['sport', 'orb', 'burgoise', 'ball']"
 popeye, Popeye is a weapon. Popeye isn't a, Popeye is a, IsA,['weapon']
 islam, Islam is a civilization. Islam isn't a, Islam is a, IsA,"['civilization', 'monotheism', 'religion', 'monotheistic']"
 partygoers, Partygoers are people. Partygoers aren't, Partygoers are, IsA,['people']
 rabbit, Rabbit is lagomorph. Rabbit isn't, Rabbit is, IsA,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
 penguins, Penguins are small cute funny-looking. Penguins aren't small cute, Penguins are small cute, IsA,"['funny-looking', 'animals']"
 birthday, Birthday is birth date. Birthday isn't birth, Birthday is birth, IsA,"['date', 'anniversary']"
 filbert, A filbert is a birch. A filbert isn't a, A filbert is a, IsA,"['birch', 'tree']"
 shame, Shame is a kind of emotion. Shame isn't a kind of, Shame is a kind of, IsA,"['emotion', 'dishonor', 'book', 'embarrassment', 'feeling']"
 reflex, Sneeze is reflex reaction. Sneeze isn't reflex, Sneeze is reflex, IsA,['reaction']
 silica, Silica is a oxide. Silica isn't a, Silica is a, IsA,['oxide']
 courting, Courting is dating. Courting isn't, Courting is, IsA,['dating']
 tennisball, A tennisball is a kind of ball. A tennisball isn't a kind of, A tennisball is a kind of, IsA,['ball']
 vise, Vise is tool. Vise isn't, Vise is, IsA,['tool']
 palaces, Palaces are buildings. Palaces aren't, Palaces are, IsA,['buildings']
 nausea, Nausea is a kind of disgust. Nausea isn't a kind of, Nausea is a kind of, IsA,"['disgust', 'book', 'illness', 'symptom']"
 gnocchi, Gnocchi is a kind of dumpling. Gnocchi isn't a kind of, Gnocchi is a kind of, IsA,"['dumpling', 'pasta', 'food']"
 indigo, Indigo is a violet. Indigo isn't a, Indigo is a, IsA,"['violet', 'person', 'shrub']"
 rabbit, A rabbit is lagomorph. A rabbit isn't, A rabbit is, IsA,"['lagomorph', 'pet', 'leporid', 'mammal', 'game', 'rodent', 'meat']"
 prefixes, Computers and prefixes are both tools. Computers and prefixes aren't both, Computers and prefixes are both, IsA,['tools']
 shot, A shot is a kind of charge. A shot isn't a kind of, A shot is a kind of, IsA,"['charge', 'opportunity', 'attempt', 'projectile', 'injection', 'expert', 'blow', 'remark', 'treatment']"
 propane, Propane is a kind of gas. Propane isn't a kind of, Propane is a kind of, IsA,"['gas', 'alkane', 'fuel']"
 slavery, Slavery is labor. Slavery isn't, Slavery is, IsA,"['labor', 'coercion', 'widely', 'practice']"
 triangle, A triangle is a kind of tool. A triangle isn't a kind of, A triangle is a kind of, IsA,"['tool', 'shape', 'polygon']"
 payday, PayDay is a kind of candy. PayDay isn't a kind of, PayDay is a kind of, IsA,"['candy', 'day']"
 felines, Felines are carnivores. Felines aren't, Felines are, IsA,['carnivores']
 conoe, A conoe is a type of boat. A conoe isn't a type of, A conoe is a type of, IsA,['boat']
 pewter, Pewter is a kind of alloy. Pewter isn't a kind of, Pewter is a kind of, IsA,"['alloy', 'metal']"
 wasps, Wasps are insects. Wasps aren't, Wasps are, IsA,['insects']
 computors, Computors are machines. Computors aren't, Computors are, IsA,['machines']
 helium, Helium is a gas. Helium isn't a, Helium is a, IsA,['gas']
 morphine, Morphine is an drug. Morphine isn't an, Morphine is an, IsA,"['drug', 'crystal', 'phenol', 'bitterness', 'analgesic', 'opiate']"
 tea, Tea is a meal. Tea isn't a, Tea is a, IsA,"['meal', 'shrub', 'beverage', 'reception', 'herb']"
 music, Music is a activity. Music isn't a, Music is a, IsA,"['activity', 'sounds', 'language', 'punishment', 'always', 'sound']"
 gasoline, Gasoline is a combustible. Gasoline isn't a, Gasoline is a, IsA,"['combustible', 'hydrocarbon', 'fuel']"
 system, A system is a substance. A system isn't a, A system is a, IsA,"['substance', 'group', 'instrumentality', 'method']"
 lcd, LCD is a type of fpd. LCD isn't a type of, LCD is a type of, IsA,"['fpd', 'screens']"
 lsd, LSD is a medicine. LSD isn't a, LSD is a, IsA,"['medicine', 'hallucinogen']"
 water, Water is a achromatism. Water isn't a, Water is a, IsA,"['achromatism', 'oxyde', 'liquid', 'hydride', 'nutrient', 'food', 'beverage', 'water', 'element', 'life', 'chemical', 'H2O']"
 hunger, Hunger is a desire. Hunger isn't a, Hunger is a, IsA,"['desire', 'sensation', 'drive']"
 snowball, A snowball is a type of projectile. A snowball isn't a type of, A snowball is a type of, IsA,"['projectile', 'ball']"
 hull, Hull is a calyx. Hull isn't a, Hull is a, IsA,"['calyx', 'husk', 'structure']"
 arepa, Arepa is a type of food. Arepa isn't a type of, Arepa is a type of, IsA,"['food', 'flatbread']"
 nostril, A nostril is a naris. A nostril isn't a, A nostril is a, IsA,['naris']
 volleyball, Volleyball is another kind of sport. Volleyball isn't another kind of, Volleyball is another kind of, IsA,"['sport', 'ball']"
 desert, Desert is a deservingness. Desert isn't a, Desert is a, IsA,"['deservingness', 'biome', 'terrain', 'tract']"
 kallitype, Kallitype is a kind of photograph. Kallitype isn't a kind of, Kallitype is a kind of, IsA,['photograph']
 turmeric, Turmeric is a plant. Turmeric isn't a, Turmeric is a, IsA,"['plant', 'herb', 'flavorer']"
 lobotomy, Lobotomy is a kind of psychosurgery. Lobotomy isn't a kind of, Lobotomy is a kind of, IsA,['psychosurgery']
 bluebird, Bluebird is thrush. Bluebird isn't, Bluebird is, IsA,"['thrush', 'sleeping', 'bird']"
 university, University is a type of body. University isn't a type of, University is a type of, IsA,"['body', 'School', 'school', 'institution', 'academy', 'organization', 'establishment']"
 acne, Acne is embarassing. Acne isn't, Acne is, IsA,['embarassing']
 ucla, UCLA is a kind of uc. UCLA isn't a kind of, UCLA is a kind of, IsA,"['uc', 'school', 'university']"
 alphabet, The alphabet is script. The alphabet isn't, The alphabet is, IsA,"['script', 'usefull']"
 chimpanzee, A chimpanzee is a kind of an animal. A chimpanzee isn't a kind of an, A chimpanzee is a kind of an, IsA,"['animal', 'hominid', 'mammal']"
 restroom, A restroom is a kind of amenities. A restroom isn't a kind of, A restroom is a kind of, IsA,"['amenities', 'room', 'toilet', 'bathroom', 'latrine']"
 chlorophyll, Chlorophyll is a kind of green. Chlorophyll isn't a kind of, Chlorophyll is a kind of, IsA,"['green', 'chlorophyll', 'pigment']"
 shepherd, A shepherd is a mammal. A shepherd isn't a, A shepherd is a, IsA,"['mammal', 'herder', 'clergyman', 'worker', 'animal']"
 polo, Polo is a kind of an sport. Polo isn't a kind of an, Polo is a kind of an, IsA,['sport']
 brownstone, A brownstone is a type of sandstone. A brownstone isn't a type of, A brownstone is a type of, IsA,"['sandstone', 'home']"
 paracetamol, Paracetamol is a kind of painkiller. Paracetamol isn't a kind of, Paracetamol is a kind of, IsA,"['painkiller', 'drug', 'antipyretic', 'solid', 'phenol']"
 science, Science is discipline. Science isn't, Science is, IsA,"['discipline', 'empiric']"
 hydrogen, Hydrogen is a gas. Hydrogen isn't a, Hydrogen is a, IsA,['gas']
 bar, Bar is drink implement. Bar isn't drink, Bar is drink, IsA,"['implement', 'ridge', 'obstruction', 'support', 'railing', 'counter', 'barrier']"
 hate, Hate is an emotion. Hate isn't an, Hate is an, IsA,['emotion']
 church, Church is a type of christian temple. Church isn't a type of christian, Church is a type of christian, IsA,"['temple', 'religion', 'body', 'parish', 'organization', 'burgoise']"
 beer, Beer is beverage. Beer isn't, Beer is, IsA,"['beverage', 'carbonated', 'alcohol', 'crater', 'fizzy', 'brew']"
 bromine, Bromine is a kind of liquid. Bromine isn't a kind of, Bromine is a kind of, IsA,"['liquid', 'halogen']"
 war, War is conflict. War isn't, War is, IsA,"['conflict', 'hostility', 'hell', 'violence', 'sugly', 'fight', 'campaign']"
